address
"ABI, 01000, KANGAR, PERLIS"
"BANDAR ANAK BUKIT, 05100, KOTA SETAR, KEDAH"
"BANDAR KUALA KEDAH, 06600, KOTA SETAR, KEDAH"
"BANDAR ALOR MERAH, 05250, KOTA SETAR, KEDAH"
"BANDAR BUKIT PINANG, 06200, KOTA SETAR, KEDAH"
"BANDAR LANGGAR, 06500, KOTA SETAR, KEDAH"
"BANDAR SIMPANG EMPAT, 06250, KOTA SETAR, KEDAH"
"PEKAN ALOR JANGGUS, 06250, KOTA SETAR, KEDAH"
"PEKAN KOTA SARANG SEMUT, 06800, KOTA SETAR, KEDAH"
"PEKAN GUNUNG, 05150, KOTA SETAR, KEDAH"
"AH, 06100, KUBANG PASU, KEDAH"
"BINJAL, 06000, KUBANG PASU, KEDAH"
"GELONG, 06000, KUBANG PASU, KEDAH"
"BUKIT TINGGI, 06000, KUBANG PASU, KEDAH"
"HUSBA, 06000, KUBANG PASU, KEDAH"
"JERAM, 06000, KUBANG PASU, KEDAH"
"JERLUN, 06150, KUBANG PASU, KEDAH"
"JITRA, 06000, KUBANG PASU, KEDAH"
"KEPELU, 06100, KUBANG PASU, KEDAH"
"KUBANG PASU, 06000, KEDAH"
"MALAU, 06000, KUBANG PASU, KEDAH"
"NAGA, 06000, KUBANG PASU, KEDAH"
"PADANG PERAHU, 06000, KUBANG PASU, KEDAH"
"PELUBANG, 06000, KUBANG PASU, KEDAH"
"PERING, 06100, KUBANG PASU, KEDAH"
"PUTAT, 06000, KUBANG PASU, KEDAH"
"SANGLANG, 06150, KUBANG PASU, KEDAH"
"SUNGAI LAKA, 06010, KUBANG PASU, KEDAH"
"TEMIN, 06000, KUBANG PASU, KEDAH"
"TUNJANG, 06000, KUBANG PASU, KEDAH"
"WANG TEPUS, 06000, KUBANG PASU, KEDAH"
"BANDAR CHANGLUN, 06010, KUBANG PASU, KEDAH"
"BANDAR JITRA, 06000, KUBANG PASU, KEDAH"
"BANDAR KODIANG, 06100, KUBANG PASU, KEDAH"
"BANDAR TUNJANG, 06000, KUBANG PASU, KEDAH"
"BANDAR BANDAR DARULAMAN, 06000, KUBANG PASU, KEDAH"
"BANDAR PADANG SERA, 06100, KUBANG PASU, KEDAH"
"BANDAR KEPALA BATAS, 06200, KUBANG PASU, KEDAH"
"BANDAR BUKIT KAYU HITAM, 06050, KUBANG PASU, KEDAH"
"PEKAN AYER HITAM, 06150, KUBANG PASU, KEDAH"
"PEKAN KUALA SANGLANG, 06150, KUBANG PASU, KEDAH"
"PEKAN SANGLANG, 06150, KUBANG PASU, KEDAH"
"PEKAN KERPAN, 06150, KUBANG PASU, KEDAH"
"PEKAN SINTOK, 06100, KUBANG PASU, KEDAH"
"PEKAN NAPOH, 06000, KUBANG PASU, KEDAH"
"PEKAN SUNGAI KOROK, 06150, KUBANG PASU, KEDAH"
"BATANG TUNGGANG KANAN, 06300, PADANG TERAP, KEDAH"
"BATANG TUNGGANG KIRI, 06300, PADANG TERAP, KEDAH"
"BELIMBING KANAN, 06300, PADANG TERAP, KEDAH"
"BELIMBING KIRI, 06300, PADANG TERAP, KEDAH"
"KURONG HITAM, 06300, PADANG TERAP, KEDAH"
"PADANG TERNAK, 06300, PADANG TERAP, KEDAH"
"PADANG TERAP KANAN, 06300, PADANG TERAP, KEDAH"
"PADANG TERAP KIRI, 06300, PADANG TERAP, KEDAH"
"PEDU, 06300, PADANG TERAP, KEDAH"
"TEKAI, 06400, PADANG TERAP, KEDAH"
"TOLAK, 06300, PADANG TERAP, KEDAH"
"BANDAR KUALA NERANG, 06300, PADANG TERAP, KEDAH"
"PEKAN NAKA, 06350, PADANG TERAP, KEDAH"
"PEKAN DURIAN BURUNG, 06300, PADANG TERAP, KEDAH"
"PEKAN LUBOK MERBAU, 06300, PADANG TERAP, KEDAH"
"PEKAN BUKIT TEMBAGA, 06300, PADANG TERAP, KEDAH"
"PEKAN PADANG SANAI, 06300, PADANG TERAP, KEDAH"
"PEKAN KAMPUNG TANJUNG, 06300, PADANG TERAP, KEDAH"
"AYER HANGAT, 07000, LANGKAWI, KEDAH"
"BOHOR, 07000, LANGKAWI, KEDAH"
"KEDAWANG, 07000, LANGKAWI, KEDAH"
"KUAH, 07000, LANGKAWI, KEDAH"
"PADANG MASIRAT, 07000, LANGKAWI, KEDAH"
"ULU MELAKA, 07000, LANGKAWI, KEDAH"
"BANDAR KUAH, 07000, LANGKAWI, KEDAH"
"BANDAR PADANG LALANG, 07000, LANGKAWI, KEDAH"
"PEKAN TELOK DATAI, 07000, LANGKAWI, KEDAH"
"BUJANG, 08100, KUALA MUDA, KEDAH"
"BUKIT MERIAM, 06000, KUALA MUDA, KEDAH"
"GURUN, 08300, KUALA MUDA, KEDAH"
"HAJI KUDONG, 08500, KUALA MUDA, KEDAH"
"KOTA, 08500, KUALA MUDA, KEDAH"
"KUALA, 06000, KUALA MUDA, KEDAH"
"MERBOK, 08400, KUALA MUDA, KEDAH"
"PEKULA, 06000, KUALA MUDA, KEDAH"
"PINANG TUNGGAL, 08000, KUALA MUDA, KEDAH"
"RANTAU PANJANG, 08500, KUALA MUDA, KEDAH"
"SEMELING, 06000, KUALA MUDA, KEDAH"
"SIDAM KIRI, 09400, KUALA MUDA, KEDAH"
"SIMPOR, 08500, KUALA MUDA, KEDAH"
"SUNGAI PASIR, 08000, KUALA MUDA, KEDAH"
"SUNGAI PETANI, 08000, KUALA MUDA, KEDAH"
"TELOI KIRI, 06000, KUALA MUDA, KEDAH"
"BANDAR AMAN JAYA, 08000, KUALA MUDA, KEDAH"
"BANDAR BEDONG, 08100, KUALA MUDA, KEDAH"
"BANDAR SUNGAI LALANG, 08100, KUALA MUDA, KEDAH"
"BANDAR TIKAM BATU, 08600, KUALA MUDA, KEDAH"
"PEKAN JENIANG, 08700, KUALA MUDA, KEDAH"
"PEKAN KOTA KUALA MUDA, 08500, KUALA MUDA, KEDAH"
"PEKAN TANJUNG DAWAI, 08200, KUALA MUDA, KEDAH"
"DULANG, 06900, YAN, KEDAH"
"SALA BESAR, 06900, YAN, KEDAH"
"SINGKIR, 06900, YAN, KEDAH"
"SUNGAI DAUN, 06800, YAN, KEDAH"
"YAN, 06900, KEDAH"
"BANDAR GUAR CHEMPEDAK, 08800, YAN, KEDAH"
"BANDAR YAN, 06900, YAN, KEDAH"
"PEKAN SIMPANG TIGA SUNGAI LIMAU, 06800, YAN, KEDAH"
"PEKAN SUNGAI LIMAU DALAM, 06900, YAN, KEDAH"
"PEKAN TEROI, 06900, YAN, KEDAH"
"PEKAN SINGKIR, 06900, YAN, KEDAH"
"JENERI, 08700, SIK, KEDAH"
"SIK, 08340, KEDAH"
"SOK, 08210, SIK, KEDAH"
"TELOI, 08340, SIK, KEDAH"
"BANDAR SIK, 08340, SIK, KEDAH"
"PEKAN BATU LAMA SIK, 08210, SIK, KEDAH"
"PEKAN GULAU, 08210, SIK, KEDAH"
"PEKAN GAJAH PUTEH, 08320, SIK, KEDAH"
"PEKAN CHAROK PADANG, 08200, SIK, KEDAH"
"BAKAI, 09120, BALING, KEDAH"
"BALING, 09100, KEDAH"
"BONGOR, 09100, BALING, KEDAH"
"KUPANG, 09200, BALING, KEDAH"
"KUPANG, 09200, BALING, KEDAH"
"PULAI, 09100, BALING, KEDAH"
"SIONG, 09100, BALING, KEDAH"
"TAWAR, 09100, BALING, KEDAH"
"TELOI KANAN, 09310, BALING, KEDAH"
"BANDAR BALING, 09100, BALING, KEDAH"
"BANDAR KUALA KETIL, 09300, BALING, KEDAH"
"BANDAR KUALA KETIL, 09300, BALING, KEDAH"
"BANDAR KUPANG, 09200, BALING, KEDAH"
"BANDAR KUPANG, 09200, BALING, KEDAH"
"PEKAN KAMPUNG BARU KEJAI, 09120, BALING, KEDAH"
"PEKAN PULAI, 09100, BALING, KEDAH"
"PEKAN TAWAR, 09100, BALING, KEDAH"
"PEKAN KUALA PEGANG, 09100, BALING, KEDAH"
"PEKAN PARIT PANJANG, 09200, BALING, KEDAH"
"PEKAN KAMPUNG LALANG, 09100, BALING, KEDAH"
"PEKAN MALAU, 09000, BALING, KEDAH"
"BAGAN SENA, 09000, KULIM, KEDAH"
"JUNJONG, 09000, KULIM, KEDAH"
"KARANGAN, 09410, KULIM, KEDAH"
"KARANGAN, 09410, KULIM, KEDAH"
"KELADI, 09000, KULIM, KEDAH"
"KULIM, 09000, KEDAH"
"LUNAS, 09600, KULIM, KEDAH"
"LUNAS, 09600, KULIM, KEDAH"
"MAHANG, 09700, KULIM, KEDAH"
"NAGA LILIT, 09400, KULIM, KEDAH"
"PADANG CHINA, 09600, KULIM, KEDAH"
"PADANG MEHA, 09010, KULIM, KEDAH"
"SEDIM, 09700, KULIM, KEDAH"
"SIDAM KANAN, 09400, KULIM, KEDAH"
"SUNGAI SELUANG, 09600, KULIM, KEDAH"
"SUNGAI ULAR, 09000, KULIM, KEDAH"
"TERAP, 09800, KULIM, KEDAH"
"BANDAR KULIM, 09000, KULIM, KEDAH"
"BANDAR LUNAS, 09600, KULIM, KEDAH"
"BANDAR LUNAS, 09600, KULIM, KEDAH"
"BANDAR PADANG SERAI, 09400, KULIM, KEDAH"
"BANDAR PADANG SERAI, 09400, KULIM, KEDAH"
"PEKAN JUNJONG, 09000, KULIM, KEDAH"
"PEKAN KARANGAN, 09410, KULIM, KEDAH"
"PEKAN KARANGAN, 09410, KULIM, KEDAH"
"PEKAN LABU BESAR, 09010, KULIM, KEDAH"
"PEKAN LABU BESAR, 09010, KULIM, KEDAH"
"PEKAN MAHANG, 09700, KULIM, KEDAH"
"PEKAN MERBAU PULAS, 09300, KULIM, KEDAH"
"PEKAN SUNGAI KARANGAN, 09410, KULIM, KEDAH"
"PEKAN SUNGAI KARANGAN, 09410, KULIM, KEDAH"
"PEKAN SUNGAI KOB, 09700, KULIM, KEDAH"
"PEKAN PADANG MEHA, 09010, KULIM, KEDAH"
"BAGAN SAMAK, 34950, BANDAR BAHARU, KEDAH"
"KUALA SELAMA, 09800, BANDAR BAHARU, KEDAH"
"PERMATANG PASIR, 34950, BANDAR BAHARU, KEDAH"
"RELAU, 14290, BANDAR BAHARU, KEDAH"
"SERDANG, 09810, BANDAR BAHARU, KEDAH"
"SERDANG, 09810, BANDAR BAHARU, KEDAH"
"SUNGAI BATU, 09800, BANDAR BAHARU, KEDAH"
"SUNGAI KECHIL, 34950, BANDAR BAHARU, KEDAH"
"BANDAR BANDAR BAHARU, 34950, BANDAR BAHARU, KEDAH"
"BANDAR SERDANG, 09800, BANDAR BAHARU, KEDAH"
"BANDAR SERDANG, 09800, BANDAR BAHARU, KEDAH"
"PEKAN LUBUK BUNTAR, 09800, BANDAR BAHARU, KEDAH"
"PEKAN SELAMA, 09800, BANDAR BAHARU, KEDAH"
"PEKAN SUNGAI KECIL ILIR, 14390, BANDAR BAHARU, KEDAH"
"PEKAN RELAU, 14290, BANDAR BAHARU, KEDAH"
"AYER PUTEH, 06700, PENDANG, KEDAH"
"BUKIT RAYA, 06700, PENDANG, KEDAH"
"GUAR KEPAYANG, 06700, PENDANG, KEDAH"
"GUAR KEPAYANG, 06700, PENDANG, KEDAH"
"PADANG KERBAU, 06700, PENDANG, KEDAH"
"PADANG PELIANG, 06750, PENDANG, KEDAH"
"PADANG PUSING, 06700, PENDANG, KEDAH"
"RAMBAI, 06400, PENDANG, KEDAH"
"TOBIAR, 06700, PENDANG, KEDAH"
"BANDAR PEDANG, 06700, PENDANG, KEDAH"
"PEKAN BUKIT JENUN, 06720, PENDANG, KEDAH"
"PEKAN KUBUR PANJANG, 06400, PENDANG, KEDAH"
"PEKAN TANAH MERAH, 06700, PENDANG, KEDAH"
"PEKAN TOKAI, 06650, PENDANG, KEDAH"
"PEKAN KOBAH, 06800, PENDANG, KEDAH"
"PEKAN KAMPUNG BARU, 06800, PENDANG, KEDAH"
"PEKAN SUNGAI TIANG, 06800, PENDANG, KEDAH"
"PEKAN SUNGAI TIANG, 06800, PENDANG, KEDAH"
"DERANG, 06400, POKOK SENA, KEDAH"
"GAJAH MATI, 06400, POKOK SENA, KEDAH"
"JABI, 06400, POKOK SENA, KEDAH"
"LESONG, 06350, POKOK SENA, KEDAH"
"TUALANG, 06400, POKOK SENA, KEDAH"
"BUKIT LADA, 06400, POKOK SENA, KEDAH"
"BANDAR POKOK SENA, 06400, POKOK SENA, KEDAH"
"PEKAN KEBUN 500, 06400, POKOK SENA, KEDAH"
"ALOR BAKAT, 16300, BACHOK, KELANTAN"
"BACKHOK, 16300, BACHOK, KELANTAN"
"BATOR, 16300, BACHOK, KELANTAN"
"CHAP, 16300, BACHOK, KELANTAN"
"CHERANG HANGUS, 16300, BACHOK, KELANTAN"
"GAJAH MATI, 16300, BACHOK, KELANTAN"
"GUNONG, 16300, BACHOK, KELANTAN"
"KUAU, 16300, BACHOK, KELANTAN"
"KEMASIN, 16300, BACHOK, KELANTAN"
"KUBANG TELAGA, 16300, BACHOK, KELANTAN"
"KUCHELONG, 16300, BACHOK, KELANTAN"
"LUBOK TEMBESU, 16300, BACHOK, KELANTAN"
"MAK LIPAH, 16300, BACHOK, KELANTAN"
"MELAWI, 16300, BACHOK, KELANTAN"
"NIPAH, 16300, BACHOK, KELANTAN"
"PAK PURA, 16300, BACHOK, KELANTAN"
"PAUH SEMBILAN, 16300, BACHOK, KELANTAN"
"PAYA MENGKUANG, 16300, BACHOK, KELANTAN"
"PERUPOK, 16300, BACHOK, KELANTAN"
"REPEK, 16300, BACHOK, KELANTAN"
"RUSA, 16300, BACHOK, KELANTAN"
"SENAK, 16300, BACHOK, KELANTAN"
"SERDANG, 16300, BACHOK, KELANTAN"
"TAKANG, 16300, BACHOK, KELANTAN"
"TANJONG, 16300, BACHOK, KELANTAN"
"TANJONG JERING, 16300, BACHOK, KELANTAN"
"TANJONG PAUH, 16300, BACHOK, KELANTAN"
"TELOK MESIRA, 16300, BACHOK, KELANTAN"
"TELONG, 16300, BACHOK, KELANTAN"
"TEMU RANGGAS, 16300, BACHOK, KELANTAN"
"TEPUS, 16300, BACHOK, KELANTAN"
"TUALANG SALAK, 16300, BACHOK, KELANTAN"
"BANDAR BACHOK, 16300, BACHOK, KELANTAN"
"PEKAN JELAWAT, 16300, BACHOK, KELANTAN"
"PEKAN JELAWAT, 16070, BACHOK, KELANTAN"
"AUR DURI, 15100, KOTA BHARU, KELANTAN"
"BADAK MATI, 16150, KOTA BHARU, KELANTAN"
"BADAK, 16150, KOTA BHARU, KELANTAN"
"BADANG, 15350, KOTA BHARU, KELANTAN"
"BANGGU, 16150, KOTA BHARU, KELANTAN"
"BANGGOL, 15350, KOTA BHARU, KELANTAN"
"BAUNG, 16100, KOTA BHARU, KELANTAN"
"BAYANG, 15200, KOTA BHARU, KELANTAN"
"BECHAH MULONG, 16010, KOTA BHARU, KELANTAN"
"BETA HULU, 16450, KOTA BHARU, KELANTAN"
"BETA HILIR, 15100, KOTA BHARU, KELANTAN"
"BETING, 16100, KOTA BHARU, KELANTAN"
"BIAH, 16010, KOTA BHARU, KELANTAN"
"BINJAI, 16450, KOTA BHARU, KELANTAN"
"BULOH POH, 15200, KOTA BHARU, KELANTAN"
"BUNUT PAYONG, 15150, KOTA BHARU, KELANTAN"
"BUT, 15100, KOTA BHARU, KELANTAN"
"CHEKLI, 15100, KOTA BHARU, KELANTAN"
"CHEKOK, 16100, KOTA BHARU, KELANTAN"
"CHE LATIFF, 17000, KOTA BHARU, KELANTAN"
"CHICHA, 16100, KOTA BHARU, KELANTAN"
"DAL, 16400, KOTA BHARU, KELANTAN"
"DEMIT, 16100, KOTA BHARU, KELANTAN"
"DUSON RENDAH, 16100, KOTA BHARU, KELANTAN"
"GUNTONG, 16450, KOTA BHARU, KELANTAN"
"JELUTONG, 16100, KOTA BHARU, KELANTAN"
"KADOK, 16450, KOTA BHARU, KELANTAN"
"KARANG, 15100, KOTA BHARU, KELANTAN"
"KAMPONG SIREH, 15000, KOTA BHARU, KELANTAN"
"KEDAI BULOH, 15350, KOTA BHARU, KELANTAN"
"KIJANG, 16100, KOTA BHARU, KELANTAN"
"KEMUBU, 18000, KOTA BHARU, KELANTAN"
"KEMUMIN, 16100, KOTA BHARU, KELANTAN"
"KENALI, 16100, KOTA BHARU, KELANTAN"
"KETEREH BARAT, 16450, KOTA BHARU, KELANTAN"
"KETEREH TIMOR, 16450, KOTA BHARU, KELANTAN"
"KOH, 15050, KOTA BHARU, KELANTAN"
"KOTA, 15000, KOTA BHARU, KELANTAN"
"LANGGAR, 18000, KOTA BHARU, KELANTAN"
"LEMBU, 15100, KOTA BHARU, KELANTAN"
"LUBOK JAMBU, 17000, KOTA BHARU, KELANTAN"
"LUBOK PUKOL, 16100, KOTA BHARU, KELANTAN"
"LUNDANG, 15150, KOTA BHARU, KELANTAN"
"LUNDANG PAKU, 15150, KOTA BHARU, KELANTAN"
"MAHANG BARAT, 16450, KOTA BHARU, KELANTAN"
"MAHANG TIMOR, 16450, KOTA BHARU, KELANTAN"
"MENTUAN, 16100, KOTA BHARU, KELANTAN"
"MELOR, 16400, KOTA BHARU, KELANTAN"
"PADANG BONGOR, 16100, KOTA BHARU, KELANTAN"
"PADANG ENGGANG, 15100, KOTA BHARU, KELANTAN"
"PADANG GARONG, 15050, KOTA BHARU, KELANTAN"
"PADANG LEBAN, 16100, KOTA BHARU, KELANTAN"
"PADANG RAJA, 15100, KOTA BHARU, KELANTAN"
"PADANG SAKAR, 15100, KOTA BHARU, KELANTAN"
"PADANG TENGAH, 15100, KOTA BHARU, KELANTAN"
"PANCHOR, 16100, KOTA BHARU, KELANTAN"
"PANGKAL PISANG, 16100, KOTA BHARU, KELANTAN"
"PARIT, 15000, KOTA BHARU, KELANTAN"
"PASIR HA, 15000, KOTA BHARU, KELANTAN"
"PASIR MAS, 17000, KOTA BHARU, KELANTAN"
"PATEK, 16100, KOTA BHARU, KELANTAN"
"PAUH, 16450, KOTA BHARU, KELANTAN"
"PAYA, 15050, KOTA BHARU, KELANTAN"
"PENDEK, 16150, KOTA BHARU, KELANTAN"
"PANGKALAN CHEPA, 16100, KOTA BHARU, KELANTAN"
"PERINGAT, 16400, KOTA BHARU, KELANTAN"
"PEROL, 15100, KOTA BHARU, KELANTAN"
"PINTU GANG, 15100, KOTA BHARU, KELANTAN"
"PULAU, 15050, KOTA BHARU, KELANTAN"
"PULAU BELANGA, 15050, KOTA BHARU, KELANTAN"
"PULAU GAJAH, 16100, KOTA BHARU, KELANTAN"
"PULAU KUNDOR, 16100, KOTA BHARU, KELANTAN"
"PULAU PANJANG, 15050, KOTA BHARU, KELANTAN"
"PULAU PISANG, 16100, KOTA BHARU, KELANTAN"
"SABAK, 16100, KOTA BHARU, KELANTAN"
"SALOR, 15100, KOTA BHARU, KELANTAN"
"SEMUT API, 15100, KOTA BHARU, KELANTAN"
"SERING, 16400, KOTA BHARU, KELANTAN"
"SETERPA, 16400, KOTA BHARU, KELANTAN"
"TANGJONG CHAT, 15000, KOTA BHARU, KELANTAN"
"TAPANG, 15200, KOTA BHARU, KELANTAN"
"TEBING TINGGI, 16100, KOTA BHARU, KELANTAN"
"TELOK, 15050, KOTA BHARU, KELANTAN"
"TELOK BHARU, 15050, KOTA BHARU, KELANTAN"
"TELOK KITANG, 15050, KOTA BHARU, KELANTAN"
"TIONG, 15100, KOTA BHARU, KELANTAN"
"TOK KU, 15050, KOTA BHARU, KELANTAN"
"WAKAF STAN, 16100, KOTA BHARU, KELANTAN"
"WAKAF SIKU, 15150, KOTA BHARU, KELANTAN"
"BANDAR KOTA BHARU, 15000, KOTA BHARU, KELANTAN"
"BANDAR BARU KUBANG KERIAN, 16150, KOTA BHARU, KELANTAN"
"PEKAN MULONG, 16010, KOTA BHARU, KELANTAN"
"BAGAN, 18500, MACHANG, KELANTAN"
"BAKAR, 18500, MACHANG, KELANTAN"
"DEWAN, 18500, MACHANG, KELANTAN"
"GADING GALOH, 18500, MACHANG, KELANTAN"
"JAKAR, 18500, MACHANG, KELANTAN"
"JOH, 18500, MACHANG, KELANTAN"
"KELAWEH, 18500, MACHANG, KELANTAN"
"KERAWANG, 18500, MACHANG, KELANTAN"
"KERILLA, 18500, MACHANG, KELANTAN"
"KUALA KERAK, 18500, MACHANG, KELANTAN"
"LABOK, 18500, MACHANG, KELANTAN"
"LIMAU HANTU, 18500, MACHANG, KELANTAN"
"MACHANG, 18500, KELANTAN"
"PADANG KEMUNCHUT, 18500, MACHANG, KELANTAN"
"PEK, 18500, MACHANG, KELANTAN"
"PEMANOK, 18500, MACHANG, KELANTAN"
"PULAU CHONDONG, 18500, MACHANG, KELANTAN"
"RAJA, 18500, MACHANG, KELANTAN"
"TENGAH, 18500, MACHANG, KELANTAN"
"TOK BOK, 18500, MACHANG, KELANTAN"
"ULU SAT, 18500, MACHANG, KELANTAN"
"BANDAR MACHANG, 18500, MACHANG, KELANTAN"
"PEKAN TEMANGAN, 18500, MACHANG, KELANTAN"
"ALOR BULOH, 17000, PASIR MAS, KELANTAN"
"ALOR BULOH, 17010, PASIR MAS, KELANTAN"
"ALOR PASIR, 17000, PASIR MAS, KELANTAN"
"APA-APA, 17000, PASIR MAS, KELANTAN"
"APAM, 17000, PASIR MAS, KELANTAN"
"BAKONG, 17000, PASIR MAS, KELANTAN"
"BECHAH MENERONG, 17000, PASIR MAS, KELANTAN"
"BECHAH PALAS, 17000, PASIR MAS, KELANTAN"
"BECHAH SEMAK, 17000, PASIR MAS, KELANTAN"
"BUKIT TUKU, 17000, PASIR MAS, KELANTAN"
"CHETOK, 17000, PASIR MAS, KELANTAN"
"GELAM, 17000, PASIR MAS, KELANTAN"
"GUA, 17000, PASIR MAS, KELANTAN"
"GUAL NERING, 17000, PASIR MAS, KELANTAN"
"GUAL PERIOK, 17000, PASIR MAS, KELANTAN"
"JABO, 17000, PASIR MAS, KELANTAN"
"JEJAWI, 17000, PASIR MAS, KELANTAN"
"KANGKONG, 17000, PASIR MAS, KELANTAN"
"KALA, 17000, PASIR MAS, KELANTAN"
"KASA, 17000, PASIR MAS, KELANTAN"
"KEDONDONG, 17000, PASIR MAS, KELANTAN"
"KENAK, 17000, PASIR MAS, KELANTAN"
"KERASAK, 17000, PASIR MAS, KELANTAN"
"KIAT, 17000, PASIR MAS, KELANTAN"
"KUALA LEMAL, 17000, PASIR MAS, KELANTAN"
"KUBANG BATANG, 17000, PASIR MAS, KELANTAN"
"KUBANG BEMBAN, 17000, PASIR MAS, KELANTAN"
"KUBANG GATAL, 17000, PASIR MAS, KELANTAN"
"KUBANG GENDANG, 17000, PASIR MAS, KELANTAN"
"KUBANG KETAM, 17000, PASIR MAS, KELANTAN"
"KUBANG SEPAT, 17000, PASIR MAS, KELANTAN"
"KUBANG TERAP, 17000, PASIR MAS, KELANTAN"
"LALANG, 17000, PASIR MAS, KELANTAN"
"LUBOK ANCHING, 17000, PASIR MAS, KELANTAN"
"LUBOK GONG, 17000, PASIR MAS, KELANTAN"
"LUBOK KAWAH, 17000, PASIR MAS, KELANTAN"
"LUBOK TAPAH, 17000, PASIR MAS, KELANTAN"
"LUBOK SETOL, 17000, PASIR MAS, KELANTAN"
"MERANTI, 17000, PASIR MAS, KELANTAN"
"PADANG EMBON, 17000, PASIR MAS, KELANTAN"
"PALOH, 17000, PASIR MAS, KELANTAN"
"RANTAU PANJANG, 17000, PASIR MAS, KELANTAN"
"SAKAR, 17000, PASIR MAS, KELANTAN"
"TASIK BERANGAN, 17000, PASIR MAS, KELANTAN"
"TELIAR, 17000, PASIR MAS, KELANTAN"
"TEDONG, 17000, PASIR MAS, KELANTAN"
"TOK SANGKOT, 17000, PASIR MAS, KELANTAN"
"TOK UBAN, 17000, PASIR MAS, KELANTAN"
"KUALA KELAR, 17000, PASIR MAS, KELANTAN"
"BANDAR PASIR MAS, 17000, PASIR MAS, KELANTAN"
"PEKAN RANTAU PANJANG, 17000, PASIR MAS, KELANTAN"
"BANGGOL SETOL, 16800, PASIR PUTEH, KELANTAN"
"BATU SEBUTIR, 16800, PASIR PUTEH, KELANTAN"
"BERANGAN, 16800, PASIR PUTEH, KELANTAN"
"BUKIT ABAL BARAT, 16800, PASIR PUTEH, KELANTAN"
"BUKIT ABAL TIMOR, 16800, PASIR PUTEH, KELANTAN"
"BUKIT MERBAU, 16800, PASIR PUTEH, KELANTAN"
"BUKIT TANAH, 16800, PASIR PUTEH, KELANTAN"
"CHERANG RUKU, 16800, PASIR PUTEH, KELANTAN"
"CHANGGAI, 16800, PASIR PUTEH, KELANTAN"
"GONG DATOK BARAT, 16800, PASIR PUTEH, KELANTAN"
"GONG DATOK TIMOR, 16800, PASIR PUTEH, KELANTAN"
"GONG CHAPA, 16800, PASIR PUTEH, KELANTAN"
