address
"JALAN KELAB, 35000, TAPAH, PERAK"
"JALAN PANTAI REMIS TAIPING, 34900, PANTAI REMIS, PERAK"
"PENGKALAN BAHARU, 34900, PANTAI REMIS, PERAK"
"KAMPUNG SUNGAI BATU, 34900, PANTAI REMIS, PERAK"
"LADANG HUNTLY, 32500, CHANGKAT KERUING, PERAK"
"JALAN PANTAI REMIS DAMAR LAUT, 32200, LUMUT, PERAK"
"BATU 3 SEGARI, 32200, LUMUT, PERAK"
"KG. SUNGAI RAMAI, 32400, AYER TAWAR, PERAK"
"JALAN BRUAS, 32400, AYER TAWAR, PERAK"
"LORONG SELAMAT, 32000, SITIAWAN, PERAK"
"KAMPONG SITIAWAN, 32000, SITIAWAN, PERAK"
"BATU 8, 32020, SITIAWAN, PERAK"
"PASIR PANJANG LAUT, 32040, SERI MANJUNG, PERAK"
"LEKIR, 32020, SITIAWAN, PERAK"
"SUNGAI TIRAM, 32020, SITIAWAN, PERAK"
"KAMPUNG PADANG TEMBAK, TELUK MUROK, 32200, LUMUT, PERAK"
"JLN ISKANDAR SHAH, 32200, LUMUT, PERAK"
"JALAN PASIR BOGAK, 32300, PANGKOR, PERAK"
"KG TELAGA NANAS, 32400, AYER TAWAR, PERAK"
"KAMPONG BAHARU (L), 32400, AYER TAWAR, PERAK"
"JALAN TELUK INTAN - SITIAWAN, 32030, SITIAWAN, PERAK"
"PANGKALAN TLDM, 32100, LUMUT, PERAK"
"BANDAR BARU SERI MANJUNG, 32040, SERI MANJUNG, PERAK"
"JALAN RUMAH MURAH, 34900, PANTAI REMIS, PERAK"
"D/A FELCRA GUGUSAN LEKIR, 32000, SITIAWAN, PERAK"
"PANGKALAN TLDM, 32100, LUMUT, PERAK"
"KPG DATO' SERI KAMARUDDIN, 32040, SERI MANJUNG, PERAK"
"MANJUNG RAYA, 32040, SERI MANJUNG, PERAK"
"PETI SURAT 26 KOMPLEKS SEKOLAH WAWASAN MANJUNG, 32040, SERI MANJUNG, PERAK"
"MANJUNG RAYA, 32040, SERI MANJUNG, PERAK"
"JLN. RAJA DR. NAZRIN SHAH, KAMPONG KEPAYANG, 31300, KG. KEPAYANG, PERAK"
"JALAN RAJA ABDULLAH, 31350, IPOH, PERAK"
"JALAN KENANGA, 31350, IPOH, PERAK"
"JALAN AMPANG, 31400, IPOH, PERAK"
"JALAN STESEN, 31250, TANJONG RAMBUTAN, PERAK"
"JALAN SULTAN AZLAN SHAH UTARA, 31400, IPOH, PERAK"
"JALAN JELAPANG, 31200, CHEMOR, PERAK"
"JALAN SEKOLAH, 31200, CHEMOR, PERAK"
"KUANG, 31200, CHEMOR, PERAK"
"JALAN TUN PERAK, 30200, IPOH, PERAK"
"JALAN PANGLIMA BUKIT GANTANG WAHAB, 30000, IPOH, PERAK"
"FAIR PARK, 31400, IPOH, PERAK"
"TAMAN SHATIN, 31650, IPOH, PERAK"
"JALAN TOH PUAN RAHMAH, 31450, MENGLEMBU, PERAK"
"JALAN SIMPANG PULAI, KG. PENGKALAN PEGOH, 31500, LAHAT, PERAK"
"JALAN GOPENG, KG. KEPAYANG, 31300, KG. KEPAYANG, PERAK"
"JALAN SULAIMAN, 31000, BATU GAJAH, PERAK"
"SIPUTEH, 31560, SIPUTEH, PERAK"
"JALAN BOTA LAMA, 31750, TRONOH, PERAK"
"JALAN CHANGKAT LARANG, 31500, LAHAT, PERAK"
"BATU 7, 31000, BATU GAJAH, PERAK"
"KAMPUNG AYER PAPAN, 31800, TANJONG TUALANG, PERAK"
"CHANGKAT TIN, 31800, TANJUNG TUALANG, PERAK"
"JALAN TG. TUALANG, 31000, BATU GAJAH, PERAK"
"JALAN PASUKAN POLIS HUTAN, 31150, ULU KINTA, PERAK"
"TRONOH, 31750, TRONOH, PERAK"
"JALAN  MASJID, KG. MANJOI, 30020, IPOH, PERAK"
"JALAN GUNTONG, BUNTONG, 30100, IPOH, PERAK"
"JALAN MASJID KG. MANJOI, 30020, IPOH, PERAK"
"JALAN KUALA KANGSAR, ANJUNG TAWAS, 31200, CHEMOR, PERAK"
"TAMAN MERU, 30020, IPOH, PERAK"
"LEBUH RAJAWALI, 30020, IPOH, PERAK"
"JALAN CAMERON HIGHLANDS, 31300, KG KEPAYANG, PERAK"
"TANJUNG RAMBUTAN, 31250, TANJONG RAMBUTAN, PERAK"
"JLN RAJA MUSA MAHADI, 31350, IPOH, PERAK"
"LRG. PEGOH 4, TMN. PENGKALAN JAYA, 31650, IPOH, PERAK"
"KG SERI KELEBANG, 31200, CHEMOR, PERAK"
"TAMAN PERPADUAN, 31150, ULU KINTA, PERAK"
"DESA CEMPAKA, 31400, IPOH, PERAK"
"SIMPANG PULAI, 31300, KG KEPAYANG, PERAK"
"TAMAN PINJI MEWAH, 31500, LAHAT, PERAK"
"JALAN TAMAN JATI 1, TAMAN JATI, JELAPANG, 30020, IPOH, PERAK"
"JALAN BERCHAM, 31400, IPOH, PERAK"
"PERSIARAN JELAPANG 13,TAMAN SILIBIN, 30100, IPOH, PERAK"
"KAMPUNG TERSUSUN TASEK, BERCHAM, 31400, IPOH, PERAK"
"JALAN BESAR KG MERAWAN INDAH, 31300, KG KEPAYANG, PERAK"
"KG. RAPAT JAYA TAMBAHAN, 31350, IPOH, PERAK"
"PERSIARAN BUNGA RAYA, 31650, IPOH, PERAK"
"LALUAN KERANJI 5, KG DATO' AHMAD SAID TAMBAHAN 3, 30020, IPOH, PERAK"
"PERSIARAN DESA RISHAH (S) 1/1B, 30100, IPOH, PERAK"
"KAMPONG SERI JAYA, JALAN CHANGKAT LARANG, 31000, BATU GAJAH, PERAK"
"JALAN TENAGA, 31350, IPOH, PERAK"
"HALAMAN AMPANG, 31350, IPOH, PERAK"
"JALAN TUNKU ABDUL RAHMAN, 30010, IPOH, PERAK"
"JALAN TAWAS BARU UTARA, 30010, IPOH, PERAK"
"TAMAN PAKATAN JAYA, 31150, ULU KINTA, PERAK"
"PLOT 2597, 31200, CHEMOR, PERAK"
"JALAN ULU KUANG, 31200, CHEMOR, PERAK"
"MERU RAYA, 30020, IPOH, PERAK"
"JALAN SELAMA ALOR PONGSU, 34300, BAGAN SERAI, PERAK"
"LORONG SEKOLAH, 34300, BAGAN SERAI, PERAK"
"PEKAN BUKIT MERAH, 34310, BAGAN SERAI, PERAK"
"CHANGKAT LOBAK, 34310, BAGAN SERAI, PERAK"
"JALAN KAMPUNG KEDAH, 34300, BAGAN SERAI, PERAK"
"JALAN BESAR KUALA KURAU, 34350, KUALA KURAU, PERAK"
"JALAN SIAKAP, 34300, BAGAN SERAI, PERAK"
"KG MATANG JELUTONG, JALAN SELAMA, 34300, BAGAN SERAI, PERAK"
"PARIT HAJI TAIB, 34300, BAGAN SERAI, PERAK"
"PARIT HAJI AMAN, 34300, BAGAN SERAI, PERAK"
"KAMPUNG SUNGAI BOGAK, 34300, BAGAN SERAI, PERAK"
"SIMPANG TIGA, 34350, KUALA KURAU, PERAK"
"SIMPANG EMPAT, 34400, SEMANGGOL, PERAK"
"JALAN TAIPING, TELUK MEDAN, 34300, BAGAN SERAI, PERAK"
"TELOK PIAL, 34350, KUALA KURAU, PERAK"
"JALAN BAHARU, 34200, PARIT BUNTAR, PERAK"
"KEDAI EMPAT, 34250, TANJONG PIANDANG, PERAK"
"KAMPONG KEDAH, 34200, PARIT BUNTAR, PERAK"
"JALAN RIA, 34200, PARIT BUNTAR, PERAK"
"TANJONG PIANDANG, 34250, TANJONG PIANDANG, PERAK"
"JALAN BAHARU, 34200, PARIT BUNTAR, PERAK"
"SUNGAI BAHARU, 34350, KUALA KURAU, PERAK"
"PARIT TELOK PIAL, 34350, KUALA KURAU, PERAK"
"JALAN SEMPADAN, 34200, PARIT BUNTAR, PERAK"
"TANAH KEBUN, 34200, PARIT BUNTAR, PERAK"
"JALAN ATAS, 34250, TANJONG PIANDANG, PERAK"
"TITI SERONG, 34200, PARIT BUNTAR, PERAK"
"SUNGAI MEGAT ARIS, BAGAN TIANG, 34250, TANJONG PIANDANG, PERAK"
"GUNONG SEMANGGOL, SIMPANG EMPAT, 34400, SEMANGGOL, PERAK"
"KAMPUNG DEW, 34400, SIMPANG EMPAT, PERAK"
"KAMPUNG SELINSING, 34400, SIMPANG EMPAT, PERAK"
"SIMPANG EMPAT, SEMANGGOL, 34400, SIMPANG EMPAT, PERAK"
"SIMPANG EMPAT SEMANGGOL, 34400, SIMPANG EMPAT, PERAK"
"JALAN GULA, 34400, SIMPANG EMPAT, PERAK"
"KAMPONG TUA, 34400, SIMPANG EMPAT, PERAK"
"KAMPONG SELAMAT, 34400, SIMPANG EMPAT, PERAK"
"TEBOK MATAU, SIMPANG EMPAT, 34400, GUNONG SEMANGGOL, PERAK"
"KUALA GULA, 34350, KUALA KURAU, PERAK"
"BATU 14 JALAN PANTAI, 34350, KUALA KURAU, PERAK"
"JALAN SEKOLAH, 34200, PARIT BUNTAR, PERAK"
"PEKAN BARU, 34200, PARIT BUNTAR, PERAK"
"KUALA KANGSAR, 33040, KUALA KANGSAR, PERAK"
"KOTA LAMA KANAN, 33040, KUALA KANGSAR, PERAK"
"JALAN IPOH, 33000, KUALA KANGSAR, PERAK"
"JALAN KAMPUNG KUBANG HALBAN, ENGGOR, 33600, KUALA KANGSAR, PERAK"
"KG. BENDANG KERING, 33040, KUALA KANGSAR, PERAK"
"KAMPUNG MENORA, 33000, KUALA KANGSAR, PERAK"
"KG. BEKOR, 33800, KUALA KANGSAR, PERAK"
"JALAN KUALA KENAS, 33000, KUALA KANGSAR, PERAK"
"JALAN TUN SABAN, KAMPUNG SENGGANG, 33000, KUALA KANGSAR, PERAK"
"KAMPUNG RAMBAI TUJUH, 33000, KUALA KANGSAR, PERAK"
"646, JLN TUN ABDUL RAZAK, 33000, KUALA KANGSAR, PERAK"
"BUKIT CHANDAN, 33000, KUALA KANGSAR, PERAK"
"LUBOK MERBAU, 33010, KUALA KANGSAR, PERAK"
"LUBOK MERBAU, 33010, KUALA KANGSAR, PERAK"
"JALAN BESAR KATI, 33020, KUALA KANGSAR, PERAK"
"KATI, 33020, KUALA KANGSAR, PERAK"
"JALAN LENGGONG, 33500, KUALA KANGSAR, PERAK"
"KAMPUNG KETIOR, 33000, KUALA KANGSAR, PERAK"
"KAMPUNG ULU KENAS, 33800, MANONG, PERAK"
"JALAN BESAR MANONG, 33800, KUALA KANGSAR, PERAK"
"JALAN BARU, KAMPUNG JELIANG, 33800, MANONG, PERAK"
"KG. ARA PANJANG, 33800, MANONG, PERAK"
"JALAN BRUAS, 33800, MANONG, PERAK"
"JALAN HJ OTHMAN, KG ULU PIOL, 33800, MANONG, PERAK"
"JALAN TAIPING, 33000, KUALA KANGSAR, PERAK"
"PADANG ASAM, 33700, PADANG RENGAS, PERAK"
"JALAN BESAR TAIPING, 33700, PADANG RENGAS, PERAK"
"PADANG RENGAS, 33700, KUALA KANGSAR, PERAK"
"KAMPUNG LANEH LUBOK MERBAU, 33010, KUALA KANGSAR, PERAK"
"JALAN BESAR, PEKAN PADANG RENGAS, 33700, PADANG RENGAS, PERAK"
"KG. KARAI, 33600, ENGGOR, PERAK"
"JALAN IPOH, 31100, SUNGAI SIPUT (U), PERAK"
"KAMPUNG TROSOR, 31100, SUNGAI SIPUT (U), PERAK"
"PEKAN LASAH, 31100, SUNGAI SIPUT (U), PERAK"
"JLN. SEKOLAH  FELDA LASAH, 31120, SUNGAI SIPUT (U), PERAK"
"SALAK UTARA, 31050, SUNGAI SIPUT (U), PERAK"
"KAMPUNG PERIANG, 33600, ENGGOR, PERAK"
"KAMPUNG TEMIN, 31100, SUNGAI SIPUT (U), PERAK"
"KAMPUNG JALONG, 31100, SUNGAI SIPUT (U), PERAK"
"KG.TEMONG, 33600, KUALA KANGSAR, PERAK"
"KG. CHEGAR GALAH, 33500, SAUK, PERAK"
"KG.LINTANG, 31100, SUNGAI SIPUT (U), PERAK"
"KAMPUNG MAAMOR, 31120, SUNGAI SIPUT (U), PERAK"
"KAMPUNG ULU RIBU, 33600, ENGGOR, PERAK"
"KAMPUNG BEKUT, 31100, SUNGAI SIPUT (U), PERAK"
"KAMPUNG JENALIK, 33500, SAUK, PERAK"
"LASAH, 31110, SUNGAI SIPUT (U), PERAK"
"KAMPUNG PERLOP 1, 31100, SUNGAI SIPUT (U), PERAK"
"LASAH, 31100, SUNGAI SIPUT (U), PERAK"
"LASAH, 31100, SUNGAI SIPUT (U), PERAK"
"LASAH, 31100, KUALA KANGSAR, PERAK"
"LASAH, 31100, SUNGAI SIPUT (U), PERAK"
"JALONG TINGGI, 31100, SUNGAI SIPUT (U), PERAK"
"LASAH, 31100, SUNGAI SIPUT (U), PERAK"
"SUNGAI SIPUT(U), 31100, SUNGAI SIPUT (U), PERAK"
"JALAN SULTAN ISKANDAR SHAH, 33000, KUALA KANGSAR, PERAK"
"JALAN JALONG, 31100, SUNGAI SIPUT (U), PERAK"
"JALAN IPOH, ENGGOR, 33600, KUALA KANGSAR, PERAK"
"BATU 7 JALAN CHANGKAT JONG, 36000, TELUK INTAN, PERAK"
"JALAN JAWA, 36000, TELUK INTAN, PERAK"
"JLN MAHARANI, 36000, TELUK INTAN, PERAK"
"JALAN KAMPUNG SELABAK, 36000, TELUK INTAN, PERAK"
"BT 8, KG. BARU CHANGKAT JONG, 36000, TELUK INTAN, PERAK"
"BATU 15, JALAN BIDOR, 36030, TELUK INTAN, PERAK"
"KAMPUNG BANJAR, 36000, TELUK INTAN, PERAK"
"KAMPUNG SUNGAI DURIAN, 36000, TELUK INTAN, PERAK"
"BATU 3  1/2 JALAN MAHARAJALELA, 36000, TELUK INTAN, PERAK"
"KG. TELUK BIRAH, MUKIM SG DURIAN, 36000, TELUK INTAN, PERAK"
"KAMPUNG SUNGAI RUBANA, 36000, TELUK INTAN, PERAK"
"KAMPUNG SUNGAI JEJAWI, 36000, TELUK INTAN, PERAK"
"JALAN LABU KUBONG, 36600, CHENDERONG BALAI, PERAK"
"KM 5 JALAN SUNGAI MANIK, 36000, TELUK INTAN, PERAK"
"JALAN CHIKUS, OFF JLN SG MANIK, KG CHIKUS, 36750, LANGKAP, PERAK"
"PARIT 7B SG MANIK, 36000, TELUK INTAN, PERAK"
"SUNGAI LAMPAM, 36750, CHIKUS, PERAK"
"KG SUNGAI TUKANG SIDIN, 36700, LANGKAP, PERAK"
"JALAN BESAR LANGKAP, 36700, LANGKAP, PERAK"
"PARIT 13A SUNGAI MANIK, 36000, TELUK INTAN, PERAK"
"KG.PERMATANG PELANDOK, 36600, CHENDERONG BALAI, PERAK"
"JALAN KAMPAR, 36700, LANGKAP, PERAK"
"PARIT 5, OFF JLN TELUK INTAN CHENDERONG BALAI, 36600, CHENDERONG BALAI, PERAK"
"KG SUNGAI KERAWAI, 36000, TELUK INTAN, PERAK"
"KM 33, JALAN KAMPAR, 36700, LANGKAP, PERAK"
"KM 7,  JALAN SUNGAI MANIK, 36000, TELUK INTAN, PERAK"
"JALAN PADANG TEMBAK, 36000, TELUK INTAN, PERAK"
"PEKAN BARU, 36000, TELUK INTAN, PERAK"
"KM 5, JALAN CHANGKAT JONG, 36000, TELUK INTAN, PERAK"
"JALAN CHUI CHAK, 36700, LANGKAP, PERAK"
"LOT 331, JALAN KAMPUNG JANA, 34600, KAMUNTING, PERAK"
"ASAM KUMBANG, 34000, TAIPING, PERAK"
"JALAN TAIPING, 34650, KUALA SEPETANG, PERAK"
"JALAN HUJUNG MATANG, 34750, MATANG, PERAK"
"JALAN MATANG, 34750, MATANG, PERAK"
"JALAN MATANG GELUGOR, 34750, MATANG, PERAK"
"TAMAN KOTA JAYA, 34700, SIMPANG, PERAK"
"JALAN KAMUNTING LAMA, 34000, TAIPING, PERAK"
"JALAN TAMING SARI, 34000, TAIPING, PERAK"
"JALAN POKOK ASSAM, 34000, TAIPING, PERAK"
"JALAN AYER KUNING, 34850, CHANGKAT JERING., PERAK"
"JALAN TRONG, 34850, CHANGKAT JERING, PERAK"
"JALAN BERUAS, 34800, TRONG, PERAK"
"PEKAN TEMELOK, 34800, TRONG, PERAK"
"JALAN BERUAS, 34800, TRONG, PERAK"
"JALAN PANTAI REMIS-TAIPING, 34800, TRONG, PERAK"
"BATU 26 JALAN TAIPING-BERUAS, 32700, BERUAS, PERAK"
"JALAN KUALA KANGSAR, 34850, CHANGKAT JERING, PERAK"
"JALAN KUALA KANGSAR, 34850, CHANGKAT JERING, PERAK"
"JALAN KUALA KANGSAR, 34850, CHANGKAT JERING, PERAK"
"CHANGKAT JERING, 34850, TAIPING, PERAK"
"KG CHEH, 34850, CHANGKAT JERING, PERAK"
"JALAN BESAR BATU KURAU, 34500, BATU KURAU, PERAK"
"KAMPONG PERAK, 34500, BATU KURAU, PERAK"
"JALAN KAMPUNG GUDANG, 34520, BATU KURAU, PERAK"
"JALAN BESAR KAMPONG REPOH, 34500, BATU KURAU, PERAK"
"BATU 20, 34520, BATU KURAU, PERAK"
"JALAN KAMPONG RELANG, 34520, BATU KURAU, PERAK"
"JALAN BESAR, JELAI, 34520, BATU KURAU, PERAK"
"JALAN PANTAI BESAR, 34520, BATU KURAU, PERAK"
"JALAN SEKOLAH, 34010, TAIPING, PERAK"
"TAIPING, 34010, TAIPING, PERAK"
"JALAN KAMPONG MASJID, IJOK, 34510, BATU KURAU, PERAK"
"JALAN SUNGAI JERNIH, IJOK, 34510, BATU KURAU, PERAK"
"ANAK  KURAU, 34500, BATU KURAU, PERAK"
"JALAN SIR CHULAN, 34100, SELAMA, PERAK"
"KUBU GAJAH, 34130, SELAMA, PERAK"
"JALAN KUBU GAJAH, 34130, SELAMA, PERAK"
"BAGAN BAHARU, 34510, BATU KURAU, PERAK"
"PEKAN RANTAU PANJANG, 34140, RANTAU PANJANG, PERAK"
"JALAN MESJID, ULU MENGKUANG, 34140, RANTAU PANJANG, PERAK"
"BANGGOL JAS, 34140, RANTAU PANJANG, PERAK"
"KAMPUNG DAMAK HILIR, 34140, RANTAU PANJANG, PERAK"
"SUNGAI RAMBUTAN, 34140, RANTAU PANJANG, PERAK"
"KAMPUNG SUNGAI SIPUTEH, 34140, RANTAU PANJANG, PERAK"
"FELDA IJOK, 34120, SELAMA, PERAK"
"KAMPUNG BUKIT BERTAM, 34140, RANTAU PANJANG, PERAK"
"KAMPUNG SUNGAI ARA, 34520, BATU KURAU, PERAK"
"KUBU GAJAH, 34130, SELAMA, PERAK"
"JALAN SEKOLAH RENDAH 1, 34600, KAMUNTING, PERAK"
"JALAN TAMING SARI, 34000, TAIPING, PERAK"
"JALAN TAMAN KAYA, 34000, TAIPING, PERAK"
"JALAN BARU AYER PUTEH, 34700, SIMPANG, PERAK"
"BATU 4, JALAN BATU KURAU, 34600, KAMUNTING, PERAK"
"JALAN RAMBUTAN, 34000, TAIPING, PERAK"
"JALAN SEKOLAH, 34900, PANTAI REMIS, PERAK"
"ASAM KUMBANG, 34000, TAIPING, PERAK"
"JALAN JANA MULIA 5, 34600, KAMUNTING, PERAK"
"KAMPUNG BOYAN, 34000, TAIPING, PERAK"
"LORONG PG/2, TAMAN PALMA, 34600, KAMUNTING, PERAK"
"605, JALAN TASEK, 33100, PENGKALAN HULU, PERAK"
"KAMPUNG KUAK HULU, 33100, PENGKALAN HULU, PERAK"
"KG KUAK LUAR, 33100, PENGKALAN HULU, PERAK"
"D/A KAMPUNG SELARONG, 33100, PENGKALAN HULU, PERAK"
"KAMPUNG TASEK, 33100, PENGKALAN HULU, PERAK"
"JALAN BESAR, 33200, KLIAN INTAN, PERAK"
"JALAN BETONG, 33100, PENGKALAN HULU, PERAK"
"JALAN ALANG ISKANDAR, 33400, LENGGONG, PERAK"
"KAMPONG GELOK, 33400, LENGGONG, PERAK"
"KG. SUMPITAN, 33420, LENGGONG, PERAK"
"KG BUKIT SAPI, 33400, LENGGONG, PERAK"
"KG TEMELONG, 33400, LENGGONG, PERAK"
"KG CHEPOR, 33400, LENGGONG, PERAK"
"KG BANGGOL BELIMBING, 33400, LENGGONG, PERAK"
"KG KOTA TAMPAN, 33400, LENGGONG, PERAK"
"KG LUAT, 33400, LENGGONG, PERAK"
"KAMPUNG BENG, 33400, LENGGONG, PERAK"
"KAMPUNG KUAK, 33400, LENGGONG, PERAK"
"JALAN HAJI MEOR YAHYA, 33300, GERIK, PERAK"
"KG. AIR PANAS, 33320, GERIK, PERAK"
"KAMPUNG TAWAI , JALAN GERIK LENGGONG, 33300, GERIK, PERAK"
"KM 18, JALAN GERIK LENGGONG, 33300, GERIK, PERAK"
"KG MALAU, 33300, GERIK, PERAK"
"JALAN INTAN, KG. KERUNAI, 33310, GERIK, PERAK"
"KAMPUNG PLANG, 33320, GERIK, PERAK"
"KAMPONG LALANG, 33320, GERIK, PERAK"
"JALAN KELILING, FELDA BERSIA, 33320, GERIK, PERAK"
"KG BASIA LAMA, 33320, GERIK, PERAK"
"KG BONGOR, 33320, GERIK, PERAK"
"KAMPUNG GANDA TEMENGOR, 33300, GERIK, PERAK"
"FELDA PAPULUT, 33300, GERIK, PERAK"
"FELDA LAWIN UTARA, 33300, GERIK, PERAK"
"FELDA LAWIN SELATAN, 33300, GERIK, PERAK"
"KAMPUNG PAHIT, 33320, GERIK, PERAK"
"FELDA LEPANG NENERING, 33100, PENGKALAN HULU, PERAK"
"PETI SURAT NO 8  PEJABAT POS GERIK, 33300, GERIK, PERAK"
"PETI SURAT 60, PEJABAT POS GERIK, 33300, GERIK, PERAK"
"PETI SURAT 32, PEJABAT  POS GERIK, 33300, GERIK, PERAK"
"PETI SURAT NO 13, 33300, GERIK, PERAK"
"BT 4, JALAN KUALA RUI, 33300, GERIK, PERAK"
"KAMPONG SUNGAI GALAH, JALAN TANJONG TUALANG, 31800, TANJUNG TUALANG, PERAK"
"KAMPUNG BALUN BIDAI, 36800, KAMPUNG GAJAH, PERAK"
"KAMPUNG TEPUS, 32800, PARIT, PERAK"
"JALAN TANJONG BELANJA MANONG, 32800, PARIT, PERAK"
"SIMPANG TIGA, 32800, PARIT, PERAK"
"KAMPUNG BELANJA KIRI, 32800, PARIT, PERAK"
"KG PASIR GAJAH, 32800, PARIT, PERAK"
"JALAN SEKOLAH, 32800, PARIT, PERAK"
"KG PULAU PADANG, 32600, BOTA, PERAK"
"KG. AJI, 32600, BOTA, PERAK"
"KG. SERIKAYA, 32600, BOTA, PERAK"
"KAMPUNG KUCHAI, LAMBOR KIRI, 32900, LAMBOR, PERAK"
"LAMBOR KIRI, 32900, LAMBOR KANAN, PERAK"
"CHANGKAT BANJAR, 32800, PARIT, PERAK"
"KG TELOK KEPAYANG, 32600, BOTA, PERAK"
"PARIT, 32800, PARIT, PERAK"
"KAMPUNG LENGKUAS, 32800, PARIT, PERAK"
"KAMPUNG TELOK PERANG, 32800, PARIT, PERAK"
"KG CHOPIN KANAN, 32800, PARIT, PERAK"
"KAMPUNG BUKIT CHUPAK, 32800, PARIT, PERAK"
"KG BARU, LAYANG-LAYANG KANAN, 32800, PARIT, PERAK"
"KAMPUNG PADANG TENGGALA, 32600, BOTA, PERAK"
"JALAN BESAR BOTA KANAN, 32600, BOTA, PERAK"
"KG PADANG CHANGKAT, 32600, BOTA, PERAK"
"LAMBOR KANAN, 32900, LAMBOR KANAN, PERAK"
"LAMBOR KANAN, 32900, LAMBOR KANAN, PERAK"
"KOTA SETIA, 36810, KAMPUNG GAJAH, PERAK"
"KAMPONG SETIA JALAN TANJUNG TUALANG, 36800, KAMPONG GAJAH, PERAK"
"KAMPUNG SELAT PULAU, 36800, KAMPONG GAJAH, PERAK"
"KAMPONG TANJONG BIDARA, 36800, KAMPONG GAJAH, PERAK"
"PULAU TIGA, 36800, KAMPONG GAJAH, PERAK"
"KAMPONG PULAU TIGA KIRI, 36800, KAMPONG GAJAH, PERAK"
"TELOK SAREH, 36800, KAMPUNG GAJAH, PERAK"
"PASIR SALAK, 36800, KAMPONG GAJAH, PERAK"
"KAMPUNG  PULAU JUAR, 36800, KAMPONG GAJAH, PERAK"
"KAMPUNG BANDAR TUA, 36800, KAMPUNG GAJAH, PERAK"
"JALAN KUALA KINTA, 36800, KAMPONG GAJAH, PERAK"
"KG SUAK PADI, 32600, BOTA, PERAK"
"KG. PASIR KUBU, PULAU TIGA KIRI, 36800, KAMPUNG GAJAH, PERAK"
"KG. BANDAR, 36800, KAMPUNG GAJAH, PERAK"
"KOTA SETIA, 36810, KAMPONG GAJAH, PERAK"
"KOTA SETIA, 36000, TELUK INTAN, PERAK"
"FELCRA SEBERANG PERAK, 36000, TELUK INTAN, PERAK"
"KAMPUNG TERSUSUN AIR KUNING, 31800, TANJUNG TUALANG, PERAK"
"BANDAR SEBERANG PERAK, 36800, KAMPONG GAJAH, PERAK"
"KG.CHENDERONG KELUBI, 31800, TANJUNG TUALANG, PERAK"
"KAMPUNG SUNGAI PERAH, 32800, PARIT, PERAK"
"BANDAR SEBERANG PERAK, 36800, KAMPONG GAJAH, PERAK"
"TITI GANTONG, 32600, BOTA, PERAK"
"JALAN IPOH LUMUT, 32610, BANDAR BARU SERI ISKANDAR, PERAK"
"KM 37, JALAN TRONOH, 32600, BOTA, PERAK"
"BANDAR SEBERANG PERAK, 36800, KAMPONG GAJAH, PERAK"
"BANDAR BARU SERI ISKANDAR, 32610, BANDAR BARU SERI ISKANDAR, PERAK"
"TAMAN GOPENG BARU, 31600, GOPENG, PERAK"
