mukim,state_id,district,state,postcode,locality
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG BARU
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG BERAPIT UTAMA
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG BERAPIT UTARA
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG BERAPIT
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG BERSATU BUKIT MINYAK
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG BERSATU BUKIT TENGAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG BESAR BERAPIT
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG BESAR
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG BINJAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG BUKIT KECIL
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG BUKIT TEH
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG BUKIT TENGAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG CHERUK TOKUN
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG CROSS STREET
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG CROSS
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG DOBI
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG DOCK
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG HARAPAN
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG HUMA
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG JANGGUS
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG KIJANG
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG NYIOR BUKIT TEH
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG PADANG LALANG MK. 11
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG PAYA
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG PERMATANG RAWA
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG PISANG
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG TANAH LIAT MK.9
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG TANAH LIAT
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG TANDOP
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG TELOK CERUK TOKUN
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG TOK ELONG
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG TOK KRAMAT
,,BUKIT MERTAJAM,PULAU PINANG,14000,KAMPUNG TOK PANJANG
,,BUKIT MERTAJAM,PULAU PINANG,14000,KONGSI 13 MK. 14
,,BUKIT MERTAJAM,PULAU PINANG,14000,LEBUH ASTON
,,BUKIT MERTAJAM,PULAU PINANG,14000,LEBUH BINJAI (1 - 3)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LEBUH DAMAI (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LEBUH HARMONI
,,BUKIT MERTAJAM,PULAU PINANG,14000,LEBUH KERANJI
,,BUKIT MERTAJAM,PULAU PINANG,14000,LEBUH KOTA PERMAI (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LEBUH MESRA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LEBUH MUHIBBAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,LEBUH NANGKA (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LEBUH NANGKA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LEBUH PERPADUAN
,,BUKIT MERTAJAM,PULAU PINANG,14000,LEBUH SRI KIJANG
,,BUKIT MERTAJAM,PULAU PINANG,14000,LEBUH TAMAN BUKIT
,,BUKIT MERTAJAM,PULAU PINANG,14000,LEBUH TEMBIKAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,LEBUHRAYA MESRA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LEMBAH TAMAN BUKIT 1
,,BUKIT MERTAJAM,PULAU PINANG,14000,LENGKOK BETIK
,,BUKIT MERTAJAM,PULAU PINANG,14000,LENGKOK BINJAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,LENGKOK BUKIT KECIL
,,BUKIT MERTAJAM,PULAU PINANG,14000,LENGKOK INDAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,LENGKOK KERJASAMA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LENGKOK MUHIBBAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,LENGKOK PERPADUAN (2 - 3)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LENGKOK PERPADUAN
,,BUKIT MERTAJAM,PULAU PINANG,14000,LENGKOK TAMAN BUKIT
,,BUKIT MERTAJAM,PULAU PINANG,14000,LENGKOK TENANG
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG BAYU MUTIARA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG BINJAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG BUKIT KECIL 1
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG BUKIT KECIL
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG BUKIT MINYAK (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG CEMPEDAK
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG DAMAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG IMPIAN MURNI (1 - 7)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG INANG
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG INDAH (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG JAMBU MADU (1 - 6)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG JANGGUS
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG KANCIL
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG KERJASAMA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG KOTA PERMAI (1 - 29)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG LIMAU MANIS
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG MESRA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG PERMATANG RAWA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG PERPADUAN
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG RUSA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG SEMANGAT
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG SEPAKAT
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG TAMAN BUKIT
,,BUKIT MERTAJAM,PULAU PINANG,14000,LINTANG TEMBIKAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG ALMA JAYA (1 - 38)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG ALMA JAYA 2/1
,,BUKIT MERTAJAM,PULAU PINANG,14000,"LORONG AMAN JAYA (4, 6)"
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG AMAN
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG ASAM PAYA 1
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG ASTON (1 - 3)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BAYU MUTIARA (2 - 18)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BELIMBING (1 - 10)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BELIMBING JAYA (2 - 3)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BERAPIT INDAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BERJAYA BARU (1 - 4)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BERJAYA INDAH (1 - 6)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BERJAYA INDAH (2 - 3)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BERJAYA SETIA (1 - 5)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BETIK MANIS (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BETIK
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BIDARA (1 - 23)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BINJAI (1 - 15)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BINJAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BUDIMAN (1 - 10)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BUKIT KECIL (1 - 15)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BUKIT KECIL INDAH 2
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BUKIT KECIL INDAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BUKIT MINYAK (1 - 26)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BUKIT MINYAK PERMAI (1 - 6)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BUKIT MINYAK
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG BUKIT NONING
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG CAMELLIA (2 - 6)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG CASA IDAMAN (1 - 6)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG CEMPEDAK (1 - 3)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG CEMPEDAK
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG CIKU (2 - 3)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG CINA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG DAMAI (1 - 6)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG DESA CAHAYA (1 - 4)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG DESA IMPIAN (1 - 5)
,,BUKIT MERTAJAM,PULAU PINANG,14000,"LORONG DESA PALMA (9, 11)"
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG GASING (1 - 4)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG GEMILANG (1 - 4)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG GEMILANG INDAH (1 - 5)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG GEMILANG RIA (1 - 4)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG GEMILANG
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG HARMONI (1 -2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG HIJAU
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG IKS BUKIT TENGAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG IMPIAN (1 - 23)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG IMPIAN INDAH (2 - 18)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG IMPIAN JAYA (2 - 8)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG IMPIAN MURNI (1 - 7)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG IMPIAN RIA (1 - 11)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG IMPIAN RIA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG INANG
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG INDAH (1 - 5)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG INDAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,"LORONG INDUSTRI (1, 2, 12)"
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG INDUSTRI ALMA 2
,,BUKIT MERTAJAM,PULAU PINANG,14000,"LORONG INDUSTRI CHERUK TOKUN (1,2)"
,,BUKIT MERTAJAM,PULAU PINANG,14000,"LORONG INDUSTRI CHERUK TOKUN JAYA (1,2)"
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG JAMBU MADU (1 - 6)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG JANGGUS
,,BUKIT MERTAJAM,PULAU PINANG,14000,"LORONG JASA (1, 4, 6)"
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG JAYA (1 - 5)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG JERNIH (1 - 7)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG KAMPUNG PAYA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG KANTAN (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG KEKWA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG KERANJI
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG KERJASAMA (1 - 15)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG KIJANG 1 - 3
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG KOTA PERMAI (1 - 20)
,,BUKIT MERTAJAM,PULAU PINANG,14000,"LORONG KOTA PERMAI (27, 29)"
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG KUINI
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG LANGSAT (1 - 8)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG LANGSAT
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG LIMAU MANIS (1 - 6)
,,BUKIT MERTAJAM,PULAU PINANG,14000,"LORONG LOBAK (5, 7, 9, 11)"
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG MACANG BUBUK (14 - 16)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG MAJU JAYA (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG MAJU UTAMA (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG MAJU UTAMA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG MAJU
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG MAKMUR (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,"LORONG MANGGIS INDAH (2, 4, 6)"
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG MESRA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG MUHIBBAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG NANGKA (1 - 12)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG NANGKA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG NENAS
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG NIRVANA (1 - 15)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG NONING
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG PALMA (1 - 11)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG PALMA 2
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG PALMA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG PENGKALAN (2 - 7)
,,BUKIT MERTAJAM,PULAU PINANG,14000,"LORONG PERDA BARAT (3, 4, 6)"
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG PERDA SELATAN (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG PERDA TIMUR (1 - 25)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG PERDA UTAMA (1 - 13)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG PERMAI JAYA (2 - 13)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG PERMATA (1 - 3)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG PERMATANG BARU (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG PERMATANG RAWA (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG PERNIAGAAN MAJU (1 - 3)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG PERPADUAN 1
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG PERUSAHAAN 1
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG PERUSAHAAN UTAMA 1
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG PINGGIRAN ALMA (1 - 5)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG REMIA (1 - 8)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG RIA (1 - 8)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG ROZHAN (2 - 4)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG RUSA (1 - 7)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG SAUJANA PERMAI (1 - 21)
,,BUKIT MERTAJAM,PULAU PINANG,14000,"LORONG SEJAHTERA (1 - 24, 24A, 24B, 25, 26, 27, 28, 29)"
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG SEJAHTERA 5/1
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG SEJAHTERA JAYA (1 - 3)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG SEJAHTERA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG SELESA (1 - 4)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG SELESA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG SEMANGAT
,,BUKIT MERTAJAM,PULAU PINANG,14000,"LORONG SENTOSA (1, 3, 7)"
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG SEPAKAT 1 - 4
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG SERI GEMILANG (1 - 5)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG SERI JANGGUS (1 - 5)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG SERI JAYA
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG SERI KIJANG (1 - 44)
,,BUKIT MERTAJAM,PULAU PINANG,14000,"LORONG SERI NILAM (2, 4, 6)"
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG SERI PERMAI (1 - 3)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG SURIA AMAN (1 - 14)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG TAMAN BUKIT (1 - 11)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG TAMAN SELASIH 1
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG TAMPOI (3 - 8)
,,BUKIT MERTAJAM,PULAU PINANG,14000,"LORONG TAN SAI GIN (2, 4, 6)"
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG TANAH AMAN (1 - 8)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG TEMBIKAI (1 - 8)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG TEMBIKAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG TENANG (1 - 9)
,,BUKIT MERTAJAM,PULAU PINANG,14000,"LORONG TERATAI (2, 4)"
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG TERINAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG TOKONG
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG USAHANIAGA (1 - 5)
,,BUKIT MERTAJAM,PULAU PINANG,14000,LORONG USAHANIAGA
,,BUKIT MERTAJAM,PULAU PINANG,14000,MACHANG BUBOK
,,BUKIT MERTAJAM,PULAU PINANG,14000,MEDAN BETIK
,,BUKIT MERTAJAM,PULAU PINANG,14000,MEDAN BINJAI KECIL
,,BUKIT MERTAJAM,PULAU PINANG,14000,MEDAN BINJAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,MEDAN GASING
,,BUKIT MERTAJAM,PULAU PINANG,14000,MEDAN INDAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,MEDAN KERANJI
,,BUKIT MERTAJAM,PULAU PINANG,14000,MEDAN KOTA PERMAI 2
,,BUKIT MERTAJAM,PULAU PINANG,14000,MEDAN MUHIBBAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,MEDAN NANGKA
,,BUKIT MERTAJAM,PULAU PINANG,14000,MEDAN TAMAN BUKIT
,,BUKIT MERTAJAM,PULAU PINANG,14000,MEDAN TEMBIKAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,MENGKUANG BERAPIT
,,BUKIT MERTAJAM,PULAU PINANG,14000,MENGKUANG SUNGAI LEMBU MK.18
,,BUKIT MERTAJAM,PULAU PINANG,14000,MENGKUANG SUNGAI LEMBU MK.19
,,BUKIT MERTAJAM,PULAU PINANG,14000,PADANG IPOH
,,BUKIT MERTAJAM,PULAU PINANG,14000,PADANG LALANG MK.17
,,BUKIT MERTAJAM,PULAU PINANG,14000,PAGAR TERAS
,,BUKIT MERTAJAM,PULAU PINANG,14000,PANGSAPURI DESA PALMA
,,BUKIT MERTAJAM,PULAU PINANG,14000,PANGSAPURI SERI JAYA
,,BUKIT MERTAJAM,PULAU PINANG,14000,PEKAN BARU
,,BUKIT MERTAJAM,PULAU PINANG,14000,PERMATANG BATU
,,BUKIT MERTAJAM,PULAU PINANG,14000,PERSIARAN BAYU MUTIARA
,,BUKIT MERTAJAM,PULAU PINANG,14000,PERSIARAN DAMAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,PERSIARAN INDAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,PERSIARAN JANGGUS
,,BUKIT MERTAJAM,PULAU PINANG,14000,PERSIARAN KOTA PERMAI (1 - 5)
,,BUKIT MERTAJAM,PULAU PINANG,14000,PERSIARAN KRISTAL
,,BUKIT MERTAJAM,PULAU PINANG,14000,PERSIARAN KUARI
,,BUKIT MERTAJAM,PULAU PINANG,14000,PERSIARAN MUHIBBAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,PERSIARAN PERPADUAN
,,BUKIT MERTAJAM,PULAU PINANG,14000,PERSIARAN SENTOSA
,,BUKIT MERTAJAM,PULAU PINANG,14000,PERSIARAN TAMAN BUKIT
,,BUKIT MERTAJAM,PULAU PINANG,14000,PUSAT PENJAJA TAMAN BAYU MUTIARA
,,BUKIT MERTAJAM,PULAU PINANG,14000,PUSAT PERNIAGAAN MAJU JAYA
,,BUKIT MERTAJAM,PULAU PINANG,14000,PUSAT PERNIAGAAN MAJU UTAMA
,,BUKIT MERTAJAM,PULAU PINANG,14000,PUSAT PERNIAGAAN MAJU
,,BUKIT MERTAJAM,PULAU PINANG,14000,SIMPANG AMPAT (KAMPUNG BARU)
,,BUKIT MERTAJAM,PULAU PINANG,14000,SIMPANG EMPAT BUKIT TENGAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,SIMPANG TIGA BUKIT TENGAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK BELIMBING (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK BETIK (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK BINJAI (1 - 8)
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK BUKIT KECIL
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK DAMAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK GASING
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK INANG
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK INDAH (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK JANGGUS
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK JERNIH
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK KANCIL
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK KEKWA (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK KOTA PERMAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK MESRA
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK NANGKA (1 - 3)
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK NENAS
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK PERPADUAN (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK RIA
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK SENTOSA
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK SEPAKAT
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK SERI IMPIAN (1 - 2)
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK TAMAN BUKIT
,,BUKIT MERTAJAM,PULAU PINANG,14000,SOLOK TANAH AMAN
,,BUKIT MERTAJAM,PULAU PINANG,14000,SUNGAI LEMBU
,,BUKIT MERTAJAM,PULAU PINANG,14000,SUNGAI RAMBAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,SUNGAI SEMAMBU
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN ACME
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN ALMA JAYA
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN ALMA
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN AMAN JAYA
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN AMAN
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN ASTON
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN B (B GARDEN)
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BAK HAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BANDARAYA
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BARU BUKIT TENGAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BAYU MUTIARA
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BELIMBING
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BERAPIT INDAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BERAPIT
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BERJAYA BARU
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BERJAYA SETIA
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BETIK MANIS
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BIDARA
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BINJAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BUDIMAN
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BUKIT CANGKAT
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BUKIT INDAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BUKIT KECIL INDAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BUKIT KECIL
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BUKIT MAS
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BUKIT MINYAK INDAH
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BUKIT MINYAK PERMAI
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BUKIT NONING
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BUKIT RIA
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN BUNGA RAYA
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN CAMELIA
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN CHUN LIEW
,,BUKIT MERTAJAM,PULAU PINANG,14000,TAMAN CRYSTAL
