housenumber,street,city,postcode,district,state,address
621-A,Jalan Merdeka,Ampang,68000,GOMBAK,WP KUALA LUMPUR,"621-A, JALAN MERDEKA, AMPANG, 68000, GOMBAK, WP KUALA LUMPUR"
621-A,Jalan Merdeka,Ampang,68000,GOMBAK,SELANGOR,"621-A, JALAN MERDEKA, AMPANG, 68000, GOMBAK, SELANGOR"
621-A,Jalan Merdeka,Ampang,68000,,WP KUALA LUMPUR,"621-A, JALAN MERDEKA, AMPANG, 68000, WP KUALA LUMPUR"
621-A,Jalan Merdeka,Ampang,68000,AMPANG,SELANGOR,"621-A, JALAN MERDEKA, AMPANG, 68000, AMPANG, SELANGOR"
Lot 4,Lorong Rampai,Kota Kinabalu,88200,KOTA KINABALU,SABAH,"LOT 4, LORONG RAMPAI, KOTA KINABALU, 88200, KOTA KINABALU, SABAH"
1,Lorong Karamunsing C,Kota Kinabalu,88100,KOTA KINABALU,SABAH,"1, LORONG KARAMUNSING C, KOTA KINABALU, 88100, KOTA KINABALU, SABAH"
11,Jalan Pinang,Kota Kinabalu,88300,KOTA KINABALU,SABAH,"11, JALAN PIG, KOTA KINABALU, 88300, KOTA KINABALU, SABAH"
23,Jalan Pinang,Kota Kinabalu,88300,KOTA KINABALU,SABAH,"23, JALAN PIG, KOTA KINABALU, 88300, KOTA KINABALU, SABAH"
1,Jalan Centre Point,Kota Kinabalu,88000,KOTA KINABALU,SABAH,"1, JALAN CENTRE POINT, KOTA KINABALU, 88000, KOTA KINABALU, SABAH"
25,Lorong Karamunsing A,Kota Kinabalu,88100,KOTA KINABALU,SABAH,"25, LORONG KARAMUNSING A, KOTA KINABALU, 88100, KOTA KINABALU, SABAH"
1 - 3,Jalan Kampung Air 2,Kota Kinabalu,88000,KOTA KINABALU,SABAH,"1 - 3, JALAN KAMPUNG AIR 2, KOTA KINABALU, 88000, KOTA KINABALU, SABAH"
2,Regat Dato Mahmud,Ipoh,31650,IPOH,PERAK,"2, REGAT DATO MAHMUD, IPOH, 31650, IPOH, PERAK"
46,Jalan Seksyen 3/13C,Kajang,43000,ULU LANGAT,SELANGOR,"46, JALAN SEKSYEN 3/13C, KAJANG, 43000, ULU LANGAT, SELANGOR"
46,Jalan Seksyen 3/13C,Kajang,43000,PETALING,SELANGOR,"46, JALAN SEKSYEN 3/13C, KAJANG, 43000, PETALING, SELANGOR"
46,Jalan Seksyen 3/13C,Kajang,43000,SEPANG,SELANGOR,"46, JALAN SEKSYEN 3/13C, KAJANG, 43000, SEPANG, SELANGOR"
46,Jalan Seksyen 3/13C,Kajang,43000,KAJANG,SELANGOR,"46, JALAN SEKSYEN 3/13C, KAJANG, 43000, KAJANG, SELANGOR"
29,Jalan SS 21/1A,Damansara Utama,47400,PETALING,SELANGOR,"29, JALAN SS 21/1A, DAMANSARA UTAMA, 47400, PETALING, SELANGOR"
29,Jalan SS 21/1A,Damansara Utama,47400,PETALING JAYA,SELANGOR,"29, JALAN SS 21/1A, DAMANSARA UTAMA, 47400, PETALING JAYA, SELANGOR"
69,Jalan Chamberlain Hulu,Ipoh,30250,IPOH,PERAK,"69, JALAN CHAMBERLAIN HULU, IPOH, 30250, IPOH, PERAK"
2,Jalan Raja Permaisuri Bainun,Ipoh,30250,IPOH,PERAK,"2, JALAN RAJA PERMAISURI BAINUN, IPOH, 30250, IPOH, PERAK"
2,Jalan Temenggong,Melaka,75000,MELAKA,MELAKA,"2, JALAN TEMENGGONG, MELAKA, 75000, MELAKA, MELAKA"
19&21,Jalan Astana C13/C,Puncak Alam,42300,BANDAR PUNCAK ALAM,SELANGOR,"19&21, JALAN ASTANA C13/C, PUNCAK ALAM, 42300, BANDAR PUNCAK ALAM, SELANGOR"
41&43,Lorong Az-Zaharah 10/B,Puncak Alam,42300,BANDAR PUNCAK ALAM,SELANGOR,"41&43, LORONG AZ-ZAHARAH 10/B, PUNCAK ALAM, 42300, BANDAR PUNCAK ALAM, SELANGOR"
45-E,Jalan Ong Kim Wee,Melaka,75300,MELAKA,MELAKA,"45-E, JALAN ONG KIM WEE, MELAKA, 75300, MELAKA, MELAKA"
91,Jalan Raja Dihilir,Ipoh,30350,IPOH,PERAK,"91, JALAN RAJA DIHILIR, IPOH, 30350, IPOH, PERAK"
156,Cambell Street,Georgetown,10100,PULAU PINANG,PULAU PINANG,"156, CAMBELL STREET, GEORGETOWN, 10100, PULAU PIG, PULAU PIG"
7,Jalan USJ 16/2G,UEP Subang Jaya,47630,SUBANG JAYA,SELANGOR,"7, JALAN USJ 16/2G, UEP SUBANG JAYA, 47630, SUBANG JAYA, SELANGOR"
"A-G-10, Block A, Merchant Square @ Tropicana, No 1",Jalan Tropicana Selatan 1,Petaling Jaya,47410,PETALING JAYA,SELANGOR,"A-G-10, BLOCK A, MERCHANT SQUARE @ TROPICANA, NO 1, JALAN TROPICANA SELATAN 1, PETALING JAYA, 47410, PETALING JAYA, SELANGOR"
19,Persiaran Sengat Baru 2,Simpang Pulai,31300,KINTA,PERAK,"19, PERSIARAN SENGAT BARU 2, SIMPANG PULAI, 31300, KINTA, PERAK"
19,Persiaran Sengat Baru 2,Simpang Pulai,31300,KAMPUNG KEPAYANG,PERAK,"19, PERSIARAN SENGAT BARU 2, SIMPANG PULAI, 31300, KAMPUNG KEPAYANG, PERAK"
154,Jalan Sultan Dr Nazrin Shah,Ipoh,31350,KINTA,PERAK,"154, JALAN SULTAN DR NAZRIN SHAH, IPOH, 31350, KINTA, PERAK"
154,Jalan Sultan Dr Nazrin Shah,Ipoh,31350,IPOH,PERAK,"154, JALAN SULTAN DR NAZRIN SHAH, IPOH, 31350, IPOH, PERAK"
2,Jalan Yong Kalsom,Ipoh,30250,IPOH,PERAK,"2, JALAN YONG KALSOM, IPOH, 30250, IPOH, PERAK"
157,Persiaran Hampshire,Kuala Lumpur,50450,,WP KUALA LUMPUR,"157, PERSIARAN HAMPSHIRE, KUALA LUMPUR, 50450, WP KUALA LUMPUR"
157,Persiaran Hampshire,Kuala Lumpur,50450,KUALA LUMPUR,WP KUALA LUMPUR,"157, PERSIARAN HAMPSHIRE, KUALA LUMPUR, 50450, KUALA LUMPUR, WP KUALA LUMPUR"
1,5/109F,Kuala Lumpur,58100,KUALA LUMPUR,WP KUALA LUMPUR,"1, 5/109F, KUALA LUMPUR, 58100, KUALA LUMPUR, WP KUALA LUMPUR"
"No. 2, Jalan Kenari 2/1,",Taman Medan Jaya,Telok Panglima Garang,42500,KUALA LANGAT,SELANGOR,"NO. 2, JALAN KENARI 2/1, TAMAN MEDAN JAYA, TELOK PANGLIMA GARANG, 42500, KUALA LANGAT, SELANGOR"
"No. 2, Jalan Kenari 2/1,",Taman Medan Jaya,Telok Panglima Garang,42500,TELOK PANGLIMA GARANG,SELANGOR,"NO. 2, JALAN KENARI 2/1, TAMAN MEDAN JAYA, TELOK PANGLIMA GARANG, 42500, TELOK PANGLIMA GARANG, SELANGOR"
1,Jalan Sutera Tanjung 8/4,Skudai,81300,JOHOR BAHRU,JOHOR,"1, JALAN SUTERA TANJUNG 8/4, SKUDAI, 81300, JOHOR BAHRU, JOHOR"
83,Jalan Indah 15/2,Johor Bahru,79100,ISKANDAR PUTERI,JOHOR,"83, JALAN INDAH 15/2, JOHOR BAHRU, 79100, ISKANDAR PUTERI, JOHOR"
26,Butterworth Business City Center,Butterworth,12300,SEBERANG PERAI UTARA,PULAU PINANG,"26, BUTTERWORTH BUSINESS CITY CENTER, BUTTERWORTH, 12300, SEBERANG PERAI UTARA, PULAU PIG"
26,Butterworth Business City Center,Butterworth,12300,BUTTERWORTH,PULAU PINANG,"26, BUTTERWORTH BUSINESS CITY CENTER, BUTTERWORTH, 12300, BUTTERWORTH, PULAU PIG"
2A,Jalan Anggerik Vanilla Q31/Q,Kota Kemuning,40460,KLANG,SELANGOR,"2A, JALAN ANGGERIK VANILLA Q31/Q, KOTA KEMUNING, 40460, KLANG, SELANGOR"
2A,Jalan Anggerik Vanilla Q31/Q,Kota Kemuning,40460,SHAH ALAM,SELANGOR,"2A, JALAN ANGGERIK VANILLA Q31/Q, KOTA KEMUNING, 40460, SHAH ALAM, SELANGOR"
18,Jalan Tun Teja B 35/B,Shah Alam,40470,SHAH ALAM,SELANGOR,"18, JALAN TUN TEJA B 35/B, SHAH ALAM, 40470, SHAH ALAM, SELANGOR"
Lot 108,"Jalan Utusan (Jln Enam), Off Jalan Chan Sow Lin",Kuala Lumpur,55200,KUALA LUMPUR,WP KUALA LUMPUR,"LOT 108, JALAN UTUSAN (JLN ENAM), OFF JALAN CHAN SOW LIN, KUALA LUMPUR, 55200, KUALA LUMPUR, WP KUALA LUMPUR"
43,Jalan SL 1/4,Bandar Sungai Long,43000,ULU LANGAT,SELANGOR,"43, JALAN SL 1/4, BANDAR SUNGAI LONG, 43000, ULU LANGAT, SELANGOR"
43,Jalan SL 1/4,Bandar Sungai Long,43000,PETALING,SELANGOR,"43, JALAN SL 1/4, BANDAR SUNGAI LONG, 43000, PETALING, SELANGOR"
43,Jalan SL 1/4,Bandar Sungai Long,43000,SEPANG,SELANGOR,"43, JALAN SL 1/4, BANDAR SUNGAI LONG, 43000, SEPANG, SELANGOR"
43,Jalan SL 1/4,Bandar Sungai Long,43000,KAJANG,SELANGOR,"43, JALAN SL 1/4, BANDAR SUNGAI LONG, 43000, KAJANG, SELANGOR"
4,Jalan Pintas Penampang,Kota Kinabalu,88300,KOTA KINABALU,SABAH,"4, JALAN PINTAS PENAMPANG, KOTA KINABALU, 88300, KOTA KINABALU, SABAH"
2004,Bagan Lalang,Butterworth,13400,BUTTERWORTH,PULAU PINANG,"2004, BAGAN LALANG, BUTTERWORTH, 13400, BUTTERWORTH, PULAU PIG"
96,Jalan Raja Permaisuri Bainun,Ipoh,30250,IPOH,PERAK,"96, JALAN RAJA PERMAISURI BAINUN, IPOH, 30250, IPOH, PERAK"
1,Jalan Alam Suria 16/24,Puncak Alam,42300,BANDAR PUNCAK ALAM,SELANGOR,"1, JALAN ALAM SURIA 16/24, PUNCAK ALAM, 42300, BANDAR PUNCAK ALAM, SELANGOR"
House 4,Lorong 22/44B,Petaling Jaya,47300,PETALING JAYA,SELANGOR,"HOUSE 4, LORONG 22/44B, PETALING JAYA, 47300, PETALING JAYA, SELANGOR"
12-2,Lorong Plaza Kingfisher 4,Kota Kinabalu,88450,KOTA KINABALU,SABAH,"12-2, LORONG PLAZA KINGFISHER 4, KOTA KINABALU, 88450, KOTA KINABALU, SABAH"
8,Jalan Aliff Harmoni 2/3 Damansara Aliff,Johor Bahru,81200,JOHOR BAHRU,JOHOR,"8, JALAN ALIFF HARMONI 2/3 DAMANSARA ALIFF, JOHOR BAHRU, 81200, JOHOR BAHRU, JOHOR"
1,Jalan 19/D,Shah Alam,40300,SHAH ALAM,SELANGOR,"1, JALAN 19/D, SHAH ALAM, 40300, SHAH ALAM, SELANGOR"
16&12A,Jalan Seri Taming 1F,Cheras,43200,ULU LANGAT,SELANGOR,"16&12A, JALAN SERI TAMING 1F, CHERAS, 43200, ULU LANGAT, SELANGOR"
16&12A,Jalan Seri Taming 1F,Cheras,43200,CHERAS,SELANGOR,"16&12A, JALAN SERI TAMING 1F, CHERAS, 43200, CHERAS, SELANGOR"
8-10,Jalan 13/48A,Kuala Lumpur,51000,KUALA LUMPUR,WP KUALA LUMPUR,"8-10, JALAN 13/48A, KUALA LUMPUR, 51000, KUALA LUMPUR, WP KUALA LUMPUR"
11,Jalan Batu Ambar,Kuala Lumpur,51200,KUALA LANGAT,WP KUALA LUMPUR,"11, JALAN BATU AMBAR, KUALA LUMPUR, 51200, KUALA LANGAT, WP KUALA LUMPUR"
11,Jalan Batu Ambar,Kuala Lumpur,51200,,WP KUALA LUMPUR,"11, JALAN BATU AMBAR, KUALA LUMPUR, 51200, WP KUALA LUMPUR"
11,Jalan Batu Ambar,Kuala Lumpur,51200,KUALA LUMPUR,WP KUALA LUMPUR,"11, JALAN BATU AMBAR, KUALA LUMPUR, 51200, KUALA LUMPUR, WP KUALA LUMPUR"
22,Jalan 5/18A,Kuala Lumpur,51200,KUALA LANGAT,WP KUALA LUMPUR,"22, JALAN 5/18A, KUALA LUMPUR, 51200, KUALA LANGAT, WP KUALA LUMPUR"
22,Jalan 5/18A,Kuala Lumpur,51200,,WP KUALA LUMPUR,"22, JALAN 5/18A, KUALA LUMPUR, 51200, WP KUALA LUMPUR"
22,Jalan 5/18A,Kuala Lumpur,51200,KUALA LUMPUR,WP KUALA LUMPUR,"22, JALAN 5/18A, KUALA LUMPUR, 51200, KUALA LUMPUR, WP KUALA LUMPUR"
14-1,Jalan 3/2,Ampang,68000,ULU LANGAT,WP KUALA LUMPUR,"14-1, JALAN 3/2, AMPANG, 68000, ULU LANGAT, WP KUALA LUMPUR"
14-1,Jalan 3/2,Ampang,68000,ULU LANGAT,SELANGOR,"14-1, JALAN 3/2, AMPANG, 68000, ULU LANGAT, SELANGOR"
14-1,Jalan 3/2,Ampang,68000,PETALING,WP KUALA LUMPUR,"14-1, JALAN 3/2, AMPANG, 68000, PETALING, WP KUALA LUMPUR"
14-1,Jalan 3/2,Ampang,68000,GOMBAK,WP KUALA LUMPUR,"14-1, JALAN 3/2, AMPANG, 68000, GOMBAK, WP KUALA LUMPUR"
14-1,Jalan 3/2,Ampang,68000,GOMBAK,SELANGOR,"14-1, JALAN 3/2, AMPANG, 68000, GOMBAK, SELANGOR"
14-1,Jalan 3/2,Ampang,68000,,WP KUALA LUMPUR,"14-1, JALAN 3/2, AMPANG, 68000, WP KUALA LUMPUR"
14-1,Jalan 3/2,Ampang,68000,AMPANG,SELANGOR,"14-1, JALAN 3/2, AMPANG, 68000, AMPANG, SELANGOR"
6 & 8,Jalan Teratai 2,Kuala Lumpur,53000,GOMBAK,SELANGOR,"6 & 8, JALAN TERATAI 2, KUALA LUMPUR, 53000, GOMBAK, SELANGOR"
6 & 8,Jalan Teratai 2,Kuala Lumpur,53000,KUALA LUMPUR,WP KUALA LUMPUR,"6 & 8, JALAN TERATAI 2, KUALA LUMPUR, 53000, KUALA LUMPUR, WP KUALA LUMPUR"
No.53,Lebuh Chulia,Pulau Pinang,10200,PULAU PINANG,PULAU PINANG,"NO.53, LEBUH CHULIA, PULAU PIG, 10200, PULAU PIG, PULAU PIG"
4;6,Jalan 2/8,Selayang,68100,GOMBAK,SELANGOR,"4;6, JALAN 2/8, SELAYANG, 68100, GOMBAK, SELANGOR"
4;6,Jalan 2/8,Selayang,68100,,WP KUALA LUMPUR,"4;6, JALAN 2/8, SELAYANG, 68100, WP KUALA LUMPUR"
4;6,Jalan 2/8,Selayang,68100,BATU CAVES,SELANGOR,"4;6, JALAN 2/8, SELAYANG, 68100, BATU CAVES, SELANGOR"
1,Jalan UP 1/6,Ampang,68000,ULU LANGAT,WP KUALA LUMPUR,"1, JALAN UP 1/6, AMPANG, 68000, ULU LANGAT, WP KUALA LUMPUR"
1,Jalan UP 1/6,Ampang,68000,ULU LANGAT,SELANGOR,"1, JALAN UP 1/6, AMPANG, 68000, ULU LANGAT, SELANGOR"
1,Jalan UP 1/6,Ampang,68000,PETALING,WP KUALA LUMPUR,"1, JALAN UP 1/6, AMPANG, 68000, PETALING, WP KUALA LUMPUR"
1,Jalan UP 1/6,Ampang,68000,GOMBAK,WP KUALA LUMPUR,"1, JALAN UP 1/6, AMPANG, 68000, GOMBAK, WP KUALA LUMPUR"
1,Jalan UP 1/6,Ampang,68000,GOMBAK,SELANGOR,"1, JALAN UP 1/6, AMPANG, 68000, GOMBAK, SELANGOR"
1,Jalan UP 1/6,Ampang,68000,,WP KUALA LUMPUR,"1, JALAN UP 1/6, AMPANG, 68000, WP KUALA LUMPUR"
1,Jalan UP 1/6,Ampang,68000,AMPANG,SELANGOR,"1, JALAN UP 1/6, AMPANG, 68000, AMPANG, SELANGOR"
4,Jalan Serih,Kota Kinabalu,88100,KOTA KINABALU,SABAH,"4, JALAN SERIH, KOTA KINABALU, 88100, KOTA KINABALU, SABAH"
3,Jalan Laiman Diki,Kota Kinabalu,88000,KOTA KINABALU,SABAH,"3, JALAN LAIMAN DIKI, KOTA KINABALU, 88000, KOTA KINABALU, SABAH"
17,Jalan Raja Dihilir,Ipoh,30350,IPOH,PERAK,"17, JALAN RAJA DIHILIR, IPOH, 30350, IPOH, PERAK"
1,Jalan Tun Fuad Stephens,Kota Kinabalu,88000,KOTA KINABALU,SABAH,"1, JALAN TUN FUAD STEPHENS, KOTA KINABALU, 88000, KOTA KINABALU, SABAH"
3 & 5,Tingkat Kikik 7,Butterworth,13600,SEBERANG PERAI TENGAH,PULAU PINANG,"3 & 5, TINGKAT KIKIK 7, BUTTERWORTH, 13600, SEBERANG PERAI TENGAH, PULAU PIG"
3 & 5,Tingkat Kikik 7,Butterworth,13600,PERAI,PULAU PINANG,"3 & 5, TINGKAT KIKIK 7, BUTTERWORTH, 13600, PERAI, PULAU PIG"
4071;4072,Jalan Bagan Luar,Butterworth,12000,SEBERANG PERAI UTARA,PULAU PINANG,"4071;4072, JALAN BAGAN LUAR, BUTTERWORTH, 12000, SEBERANG PERAI UTARA, PULAU PIG"
4071;4072,Jalan Bagan Luar,Butterworth,12000,BUTTERWORTH,PULAU PINANG,"4071;4072, JALAN BAGAN LUAR, BUTTERWORTH, 12000, BUTTERWORTH, PULAU PIG"
51,Lorong Teras Jaya 2,Butterworth,13400,BUTTERWORTH,PULAU PINANG,"51, LORONG TERAS JAYA 2, BUTTERWORTH, 13400, BUTTERWORTH, PULAU PIG"
1&3,Jalan Cempaka,Butterworth,12300,SEBERANG PERAI UTARA,PULAU PINANG,"1&3, JALAN CEMPAKA, BUTTERWORTH, 12300, SEBERANG PERAI UTARA, PULAU PIG"
1&3,Jalan Cempaka,Butterworth,12300,BUTTERWORTH,PULAU PINANG,"1&3, JALAN CEMPAKA, BUTTERWORTH, 12300, BUTTERWORTH, PULAU PIG"
G-B-1,Jalan Baru,Perai,13700,SEBERANG PERAI TENGAH,PULAU PINANG,"G-B-1, JALAN BARU, PERAI, 13700, SEBERANG PERAI TENGAH, PULAU PIG"
G-B-1,Jalan Baru,Perai,13700,PERAI,PULAU PINANG,"G-B-1, JALAN BARU, PERAI, 13700, PERAI, PULAU PIG"
24,Weld Quay,George Town,10200,PULAU PINANG,PULAU PINANG,"24, WELD QUAY, GEORGE TOWN, 10200, PULAU PIG, PULAU PIG"
"5-G, 5-1, 5-2 & 5-3, Petaling Utama Avenue",Jalan PJS 1/50,Petaling Jaya,46150,PETALING JAYA,SELANGOR,"5-G, 5-1, 5-2 & 5-3, PETALING UTAMA AVENUE, JALAN PJS 1/50, PETALING JAYA, 46150, PETALING JAYA, SELANGOR"
207,Jalan Tun Razak,Kuala Lumpur,50450,,WP KUALA LUMPUR,"207, JALAN TUN RAZAK, KUALA LUMPUR, 50450, WP KUALA LUMPUR"
207,Jalan Tun Razak,Kuala Lumpur,50450,KUALA LUMPUR,WP KUALA LUMPUR,"207, JALAN TUN RAZAK, KUALA LUMPUR, 50450, KUALA LUMPUR, WP KUALA LUMPUR"
6917,Jalan Ong Yi How,Butterworth,13400,BUTTERWORTH,PULAU PINANG,"6917, JALAN ONG YI HOW, BUTTERWORTH, 13400, BUTTERWORTH, PULAU PIG"
37A,Lebuh Pantai,George Town,10300,PULAU PINANG,PULAU PINANG,"37A, LEBUH PANTAI, GEORGE TOWN, 10300, PULAU PIG, PULAU PIG"
5,"Jalan E1, Taman Melawati",Gombak,53100,GOMBAK,SELANGOR,"5, JALAN E1, TAMAN MELAWATI, GOMBAK, 53100, GOMBAK, SELANGOR"
5,"Jalan E1, Taman Melawati",Gombak,53100,KUALA LUMPUR,WP KUALA LUMPUR,"5, JALAN E1, TAMAN MELAWATI, GOMBAK, 53100, KUALA LUMPUR, WP KUALA LUMPUR"
5,"Jalan E1, Taman Melawati",Gombak,53100,HULU LANGAT,WP KUALA LUMPUR,"5, JALAN E1, TAMAN MELAWATI, GOMBAK, 53100, HULU LANGAT, WP KUALA LUMPUR"
36-38,Jalan Warisan Megah 1/4,Kota Warisan,43900,SEPANG,SELANGOR,"36-38, JALAN WARISAN MEGAH 1/4, KOTA WARISAN, 43900, SEPANG, SELANGOR"
7487,Lorong Mesra Jaya 1,Butterworth,13400,BUTTERWORTH,PULAU PINANG,"7487, LORONG MESRA JAYA 1, BUTTERWORTH, 13400, BUTTERWORTH, PULAU PIG"
61;63;65;67,Jalan Todak 6,Seberang Jaya,13700,SEBERANG PERAI TENGAH,PULAU PINANG,"61;63;65;67, JALAN TODAK 6, SEBERANG JAYA, 13700, SEBERANG PERAI TENGAH, PULAU PIG"
61;63;65;67,Jalan Todak 6,Seberang Jaya,13700,PERAI,PULAU PINANG,"61;63;65;67, JALAN TODAK 6, SEBERANG JAYA, 13700, PERAI, PULAU PIG"
25,Jalan Todak 6,Seberang Jaya,13700,SEBERANG PERAI TENGAH,PULAU PINANG,"25, JALAN TODAK 6, SEBERANG JAYA, 13700, SEBERANG PERAI TENGAH, PULAU PIG"
25,Jalan Todak 6,Seberang Jaya,13700,PERAI,PULAU PINANG,"25, JALAN TODAK 6, SEBERANG JAYA, 13700, PERAI, PULAU PIG"
1,Jalan Todak 1,Seberang Jaya,13700,SEBERANG PERAI TENGAH,PULAU PINANG,"1, JALAN TODAK 1, SEBERANG JAYA, 13700, SEBERANG PERAI TENGAH, PULAU PIG"
1,Jalan Todak 1,Seberang Jaya,13700,PERAI,PULAU PINANG,"1, JALAN TODAK 1, SEBERANG JAYA, 13700, PERAI, PULAU PIG"
130,Jalan Gaya,Kota Kinabalu,88000,KOTA KINABALU,SABAH,"130, JALAN GAYA, KOTA KINABALU, 88000, KOTA KINABALU, SABAH"
PKB 66-2,"PARIT GANTONG , PARIT JAWA",MUAR,84150,MUAR,JOHOR,"PKB 66-2, PARIT GANTONG , PARIT JAWA, MUAR, 84150, MUAR, JOHOR"
PKB 66-2,"PARIT GANTONG , PARIT JAWA",MUAR,84150,PARIT JAWA,JOHOR,"PKB 66-2, PARIT GANTONG , PARIT JAWA, MUAR, 84150, PARIT JAWA, JOHOR"
PKB 66-3,"PARIT GANTONG , PARIT JAWA",MUAR,84150,MUAR,JOHOR,"PKB 66-3, PARIT GANTONG , PARIT JAWA, MUAR, 84150, MUAR, JOHOR"
PKB 66-3,"PARIT GANTONG , PARIT JAWA",MUAR,84150,PARIT JAWA,JOHOR,"PKB 66-3, PARIT GANTONG , PARIT JAWA, MUAR, 84150, PARIT JAWA, JOHOR"
12,Jalan Teknologi 3/3A,Petaling Jaya,47810,PETALING JAYA,SELANGOR,"12, JALAN TEKNOLOGI 3/3A, PETALING JAYA, 47810, PETALING JAYA, SELANGOR"
2836:2837,Jalan Kampung Baru,Bukit Mertajam,14000,SEBERANG PERAI TENGAH,PULAU PINANG,"2836:2837, JALAN KAMPUNG BARU, BUKIT MERTAJAM, 14000, SEBERANG PERAI TENGAH, PULAU PIG"
2836:2837,Jalan Kampung Baru,Bukit Mertajam,14000,SEBERANG PERAI UTARA,PULAU PINANG,"2836:2837, JALAN KAMPUNG BARU, BUKIT MERTAJAM, 14000, SEBERANG PERAI UTARA, PULAU PIG"
2836:2837,Jalan Kampung Baru,Bukit Mertajam,14000,SEBERANG PERAI SELATAN,PULAU PINANG,"2836:2837, JALAN KAMPUNG BARU, BUKIT MERTAJAM, 14000, SEBERANG PERAI SELATAN, PULAU PIG"
2836:2837,Jalan Kampung Baru,Bukit Mertajam,14000,BUKIT MERTAJAM,PULAU PINANG,"2836:2837, JALAN KAMPUNG BARU, BUKIT MERTAJAM, 14000, BUKIT MERTAJAM, PULAU PIG"
25,Lorong Millennium Centre,Kota Kinabalu,88200,KOTA KINABALU,SABAH,"25, LORONG MILLENNIUM CENTRE, KOTA KINABALU, 88200, KOTA KINABALU, SABAH"
1,Jalan Gunung,Masai,81750,JOHOR BAHRU,JOHOR,"1, JALAN GUNUNG, MASAI, 81750, JOHOR BAHRU, JOHOR"
1,Jalan Gunung,Masai,81750,MASAI,JOHOR,"1, JALAN GUNUNG, MASAI, 81750, MASAI, JOHOR"
68,Jalan Jelapang,Ipoh,30020,KINTA,PERAK,"68, JALAN JELAPANG, IPOH, 30020, KINTA, PERAK"
68,Jalan Jelapang,Ipoh,30020,IPOH,PERAK,"68, JALAN JELAPANG, IPOH, 30020, IPOH, PERAK"
93;95,Jalan Kendi,Simpang Ampat,14100,SEBERANG PERAI TENGAH,PULAU PINANG,"93;95, JALAN KENDI, SIMPANG AMPAT, 14100, SEBERANG PERAI TENGAH, PULAU PIG"
93;95,Jalan Kendi,Simpang Ampat,14100,SEBERANG PERAI SELATAN,PULAU PINANG,"93;95, JALAN KENDI, SIMPANG AMPAT, 14100, SEBERANG PERAI SELATAN, PULAU PIG"
93;95,Jalan Kendi,Simpang Ampat,14100,SIMPANG AMPAT,PULAU PINANG,"93;95, JALAN KENDI, SIMPANG AMPAT, 14100, SIMPANG AMPAT, PULAU PIG"
369A,Jalan SS 9A/3,Petaling Jaya,47300,PETALING JAYA,SELANGOR,"369A, JALAN SS 9A/3, PETALING JAYA, 47300, PETALING JAYA, SELANGOR"
153A,Jalan SS 9A/1,Petaling Jaya,47300,PETALING JAYA,SELANGOR,"153A, JALAN SS 9A/1, PETALING JAYA, 47300, PETALING JAYA, SELANGOR"
29A,Jalan Jelapang,Ipoh,30020,KINTA,PERAK,"29A, JALAN JELAPANG, IPOH, 30020, KINTA, PERAK"
29A,Jalan Jelapang,Ipoh,30020,IPOH,PERAK,"29A, JALAN JELAPANG, IPOH, 30020, IPOH, PERAK"
