id,NEGERI,PPD,Peringkat,JENIS/LABEL,KODSEKOLAH,NAMASEKOLAH,ALAMATSURAT,POSKODSURAT,BANDARSURAT,NOTELEFON,NOFAX,EMAIL,LOKASI,BANTUAN,MURID,GURU,PRASEKOLAH,PKHAS,longitude,latitude
20,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0020,SEKOLAH KEBANGSAAN BIKAM,KAMPUNG BIKAM,35600,SUNGKAI,54386179,54386179,ABA0020@moe.edu.my,Luar Bandar,SK,42,12,ADA,TIADA,101.297428,4.044575
21,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0024,SEKOLAH KEBANGSAAN CHANGKAT SULAIMAN,KG.CHANGKAT SULAIMAN,35600,SUNGKAI,54389843,54389843,ABA0024@moe.edu.my,Luar Bandar,SK,133,17,ADA,TIADA,101.295589,3.971203
22,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0031,SEKOLAH KEBANGSAAN FELDA SUNGAI KELAH,FELDA SUNGAI KELAH,35600,SUNGKAI,54388500,54388501,ABA0031@moe.edu.my,Luar Bandar,SK,163,20,ADA,TIADA,101.369826,3.989146
23,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0034,SEKOLAH KEBANGSAAN BATU 14,JALAN PAHANG,35000,TAPAH,TIADA,TIADA,ABA0034@moe.edu.my,Luar Bandar,SK,324,26,ADA,TIADA,101.32708,4.322859
24,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0035,SEKOLAH KEBANGSAAN BESOUT 3,FELDA GUNUNG BESOUT 3,35600,SUNGKAI,54312313,54312313,ABA0035@moe.edu.my,Luar Bandar,SK,231,28,ADA,TIADA,101.300399,3.843797
25,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0110,SEKOLAH KEBANGSAAN TROLAK UTARA,FELDA TROLAK UTARA,35600,SUNGKAI,54323189,54321004,ABA0110@moe.edu.my,Luar Bandar,SK,315,31,ADA,TIADA,101.358578,3.950507
26,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0118,SEKOLAH KEBANGSAAN TROLAK SELATAN,FELDA TROLAK SELATAN,35600,SUNGKAI,54323534,54322734,ABA0118@moe.edu.my,Luar Bandar,SK,344,35,ADA,ADA,101.386788,3.919545
27,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0120,SEKOLAH KEBANGSAAN SERI BESOUT,FELDA GUNUNG BESOUT 01,35600,SUNGKAI,54311819,54311819,ABA0120@moe.edu.my,Luar Bandar,SK,409,40,ADA,ADA,101.286544,3.847763
28,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0125,SEKOLAH KEBANGSAAN POS GEDONG,PETI SURAT 20,35500,BIDOR,TIADA,TIADA,ABA0125@moe.edu.my,Luar Bandar,SK,75,11,TIADA,TIADA,101.376862,4.170615
29,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0126,SEKOLAH KEBANGSAAN KAMPUNG SENTA,PETI SURAT 20,35500,BIDOR,TIADA,TIADA,ABA0126@moe.edu.my,Luar Bandar,SK,85,11,TIADA,TIADA,101.330783,4.153609
30,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0127,SEKOLAH KEBANGSAAN POS MUSUH LZ,PETI SURAT 51,35000,TAPAH,TIADA,TIADA,ABA0127@moe.edu.my,Luar Bandar,SK,51,11,TIADA,TIADA,101.335809,4.262299
31,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0128,SEKOLAH KEBANGSAAN JERNANG,"P/SURAT 14, PEJABAT POS SUNGKAI",35600,SUNGKAI,TIADA,TIADA,ABA0128@moe.edu.my,Luar Bandar,SK,173,18,ADA,TIADA,101.419363,4.051292
32,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0129,SEKOLAH KEBANGSAAN TAPAH,JALAN BIDOR LAMA,35000,TAPAH,54016122,54016122,ABA0129@moe.edu.my,Luar Bandar,SK,155,21,ADA,TIADA,101.26798,4.18166
33,PERAK,PPD BATANG PADANG,Rendah,Kebangsaan,ABA0130,SEKOLAH KEBANGSAAN BIDOR 2,JALAN TELUK INTAN,35500,BIDOR,54341216,54340926,ABA0130@moe.edu.my,Luar Bandar,SK,557,48,ADA,ADA,101.276955,4.117048
34,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1001,SEKOLAH KEBANGSAAN DENDANG,KAMPUNG DENDANG,32700,BERUAS,52560031,52560031,ABA1001@moe.edu.my,Luar Bandar,SK,105,16,ADA,TIADA,100.815458,4.502662
35,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1002,SEKOLAH KEBANGSAAN BERUAS,JALAN PARIT,32700,BERUAS,56740696,56749009,ABA1002@moe.edu.my,Luar Bandar,SK,220,30,ADA,TIADA,100.786063,4.498995
36,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1003,SEKOLAH KEBANGSAAN KAMPUNG KOTA,JALAN SITIAWAN,32700,BERUAS,56748048,56748048,ABA1003@moe.edu.my,Luar Bandar,SK,95,16,ADA,TIADA,100.784488,4.479139
37,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1004,SEKOLAH KEBANGSAAN GELONG GAJAH,KAMPUNG  KEDAH,32700,BERUAS,56721145,56721145,ABA1004@moe.edu.my,Luar Bandar,SK,237,29,ADA,ADA,100.778416,4.411289
38,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1005,SEKOLAH KEBANGSAAN CHANGKAT CHERMIN,CHANGKAT CHERMIN,32400,AYER TAWAR,53765253,53765253,ABA1005@moe.edu.my,Luar Bandar,SK,83,18,ADA,TIADA,100.817463,4.348482
39,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1006,SEKOLAH KEBANGSAAN AYER TAWAR,JALAN AYER TAWAR PANTAI REMIS,32400,AYER TAWAR,56724248,56724248,ABA1006@moe.edu.my,Luar Bandar,SK,296,39,ADA,ADA,100.773077,4.322562
40,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1007,SEKOLAH KEBANGSAAN PANCHOR,JALAN PANTAI REMIS TAIPING,34900,PANTAI REMIS,56775795,56773528,ABA1007@moe.edu.my,Luar Bandar,SK,154,18,ADA,TIADA,100.65083,4.51905
41,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1008,SEKOLAH KEBANGSAAN PENGKALAN BAHARU,PENGKALAN BAHARU,34900,PANTAI REMIS,56775595,56775595,ABA1008@moe.edu.my,Luar Bandar,SK,309,36,ADA,ADA,100.634395,4.478546
42,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1009,SEKOLAH KEBANGSAAN SUNGAI BATU,KAMPUNG SUNGAI BATU,34900,PANTAI REMIS,56774660,56777529,ABA1009@moe.edu.my,Luar Bandar,SK,373,32,ADA,TIADA,100.6254,4.434293
43,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1010,SEKOLAH KEBANGSAAN LADANG HUNTLY,LADANG HUNTLY,32500,CHANGKAT KERUING,56752168,56752168,ABA1010@moe.edu.my,Luar Bandar,SK,68,14,ADA,TIADA,100.694622,4.41532
44,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1011,SEKOLAH KEBANGSAAN SEGARI,JALAN PANTAI REMIS DAMAR LAUT,32200,LUMUT,56774473,56774473,ABA1011@moe.edu.my,Luar Bandar,SK,112,14,ADA,TIADA,100.625364,4.350093
45,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1012,SEKOLAH KEBANGSAAN NAKHODA MUHAMMAD TAIB,BATU 3 SEGARI,32200,LUMUT,56777151,56777151,ABA1012@moe.edu.my,Luar Bandar,SK,227,26,ADA,TIADA,100.624957,4.278504
46,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1013,SEKOLAH KEBANGSAAN SUNGAI RAMAI,KG. SUNGAI RAMAI,32400,AYER TAWAR,TIADA,TIADA,ABA1013@moe.edu.my,Luar Bandar,SK,19,11,TIADA,TIADA,100.744207,4.298834
47,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1014,SEKOLAH KEBANGSAAN SUNGAI WANGI,JALAN BRUAS,32400,AYER TAWAR,56924192,56924192,ABA1014@moe.edu.my,Luar Bandar,SK,305,39,ADA,ADA,100.727487,4.26068
48,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1015,SEKOLAH KEBANGSAAN SERI SELAMAT,LORONG SELAMAT,32000,SITIAWAN,56922495,56926143,ABA1015@moe.edu.my,Bandar,SK,365,41,ADA,ADA,100.700283,4.213717
49,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1016,SEKOLAH KEBANGSAAN SITIAWAN,KAMPONG SITIAWAN,32000,SITIAWAN,56923754,56923754,ABA1016@moe.edu.my,Luar Bandar,SK,396,35,ADA,ADA,100.689955,4.237377
50,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1017,SEKOLAH KEBANGSAAN LEKIR,BATU 8,32020,SITIAWAN,56792764,56792764,ABA1017@moe.edu.my,Luar Bandar,SK,417,43,TIADA,ADA,100.721142,4.147191
51,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1018,SEKOLAH KEBANGSAAN MUHAMMAD SAMAN,PASIR PANJANG LAUT,32040,SERI MANJUNG,56939610,56939611,ABA1018@moe.edu.my,Luar Bandar,SK,307,30,ADA,TIADA,100.689698,4.169197
52,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1019,SEKOLAH KEBANGSAAN BATU SEPULUH,LEKIR,32020,SITIAWAN,56791206,56791951,ABA1019@moe.edu.my,Luar Bandar,SK,470,37,TIADA,TIADA,100.717833,4.153824
53,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1020,SEKOLAH KEBANGSAAN SUNGAI TIRAM,SUNGAI TIRAM,32020,SITIAWAN,56690576,56690049,ABA1020@moe.edu.my,Luar Bandar,SK,250,25,ADA,TIADA,100.76602,4.10763
54,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1021,SEKOLAH KEBANGSAAN DATO' ISHAK,"KAMPUNG PADANG TEMBAK, TELUK MUROK",32200,LUMUT,56835440,56834332,ABA1021@moe.edu.my,Luar Bandar,SK,432,35,ADA,TIADA,100.620306,4.208738
55,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1022,SEKOLAH KEBANGSAAN LUMUT,JLN ISKANDAR SHAH,32200,LUMUT,56835322,56835322,ABA1022@moe.edu.my,Bandar,SK,126,14,ADA,TIADA,100.627343,4.230752
56,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1023,SEKOLAH KEBANGSAAN SERI PANGKOR,JALAN PASIR BOGAK,32300,PANGKOR,56851193,56855911,ABA1023@moe.edu.my,Luar Bandar,SK,457,44,ADA,TIADA,100.572868,4.211426
57,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1024,SEKOLAH KEBANGSAAN TELAGA NENAS,KG TELAGA NANAS,32400,AYER TAWAR,56990070,56990070,ABA1024@moe.edu.my,Luar Bandar,SK,68,13,ADA,TIADA,100.666293,4.32403
58,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1025,SEKOLAH KEBANGSAAN KAMPUNG BAHARU,KAMPONG BAHARU (L),32400,AYER TAWAR,56915975,56915975,ABA1025@moe.edu.my,Luar Bandar,SK,108,13,TIADA,TIADA,100.670764,4.293653
59,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1026,SEKOLAH KEBANGSAAN KAYAN,JALAN TELUK INTAN - SITIAWAN,32030,SITIAWAN,56792712,56792712,ABA1026@moe.edu.my,Luar Bandar,SK,101,18,ADA,TIADA,100.79793,4.04569
60,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1027,SEKOLAH KEBANGSAAN PANGKALAN TLDM,PANGKALAN TLDM,32100,LUMUT,56835890,56838527,ABA1027@moe.edu.my,Luar Bandar,SK,1038,79,ADA,TIADA,100.617393,4.214277
61,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1028,SEKOLAH KEBANGSAAN SERI MANJUNG,BANDAR BARU SERI MANJUNG,32040,SERI MANJUNG,56881014,56889855,ABA1028@moe.edu.my,Bandar,SK,1561,115,ADA,TIADA,100.662883,4.188247
62,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1029,SEKOLAH KEBANGSAAN PANTAI REMIS,JALAN RUMAH MURAH,34900,PANTAI REMIS,56774375,56777586,ABA1029@moe.edu.my,Luar Bandar,SK,313,32,ADA,TIADA,100.631694,4.450635
63,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1030,SEKOLAH KEBANGSAAN GUGUSAN LEKIR,D/A FELCRA GUGUSAN LEKIR,32000,SITIAWAN,56923687,56926126,ABA1030@moe.edu.my,Luar Bandar,SK,116,20,ADA,ADA,100.756213,4.196446
64,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1031,SEKOLAH KEBANGSAAN PANGKALAN TLDM II,PANGKALAN TLDM,32100,LUMUT,56834914,56838079,ABA1031@moe.edu.my,Luar Bandar,SK,794,66,ADA,ADA,100.619134,4.215815
65,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1032,SEKOLAH KEBANGSAAN KPG. DATO' SERI KAMARUDDIN,KPG DATO' SERI KAMARUDDIN,32040,SERI MANJUNG,56886616,56886616,ABA1032@moe.edu.my,Bandar,SK,805,71,ADA,ADA,100.649916,4.182197
66,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1033,SEKOLAH KEBANGSAAN SERI SITIAWAN,MANJUNG RAYA,32040,SERI MANJUNG,56882087,56882326,ABA1033@moe.edu.my,Bandar,SK,742,60,ADA,ADA,100.657046,4.208274
67,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1034,SEKOLAH KEBANGSAAN SERI BAYU,PETI SURAT 26 KOMPLEKS SEKOLAH WAWASAN MANJUNG,32040,SERI MANJUNG,56888950,56883866,ABA1034@moe.edu.my,Bandar,SK,931,84,ADA,ADA,100.652998,4.199762
68,PERAK,PPD MANJUNG,Rendah,Kebangsaan,ABA1035,SEKOLAH KEBANGSAAN SERI SAMUDERA,MANJUNG RAYA,32040,SERI MANJUNG,56881909,56883703,ABA1035@moe.edu.my,Bandar,SK,624,42,ADA,TIADA,100.661125,4.208151
69,PERAK,PPD KINTA UTARA,Rendah,Kebangsaan,ABA2001,SEKOLAH KEBANGSAAN SUNGAI RAYA,"JLN. RAJA DR. NAZRIN SHAH, KAMPONG KEPAYANG",31300,KG. KEPAYANG,53571660,53571660,ABA2001@moe.edu.my,Luar Bandar,SK,461,39,ADA,TIADA,101.133584,4.519881
70,PERAK,PPD KINTA UTARA,Rendah,Kebangsaan,ABA2002,SEKOLAH KEBANGSAAN SUNGAI RAPAT,JALAN RAJA ABDULLAH,31350,IPOH,53123528,53123528,ABA2002@moe.edu.my,Bandar,SK,527,45,ADA,TIADA,101.108199,4.573474
71,PERAK,PPD KINTA UTARA,Rendah,Kebangsaan,ABA2003,SEKOLAH KEBANGSAAN SUNGAI ROKAM,JALAN KENANGA,31350,IPOH,53121890,53115806,ABA2003@moe.edu.my,Bandar,SK,787,81,ADA,ADA,101.114984,4.577717
72,PERAK,PPD KINTA UTARA,Rendah,Kebangsaan,ABA2004,SEKOLAH KEBANGSAAN TAMBUN,JALAN AMPANG,31400,IPOH,55469261,55499086,ABA2004@moe.edu.my,Bandar,SK,558,63,ADA,ADA,101.140922,4.60805
73,PERAK,PPD KINTA UTARA,Rendah,Kebangsaan,ABA2005,SEKOLAH KEBANGSAAN TANJONG RAMBUTAN,JALAN STESEN,31250,TANJONG RAMBUTAN,55332950,55330751,ABA2005@moe.edu.my,Bandar,SK,625,55,ADA,TIADA,101.155619,4.666796
74,PERAK,PPD KINTA UTARA,Rendah,Kebangsaan,ABA2006,SEKOLAH KEBANGSAAN TASEK,JALAN SULTAN AZLAN SHAH UTARA,31400,IPOH,55464913,55464913,ABA2006@moe.edu.my,Bandar,SK,218,23,ADA,TIADA,101.114302,4.638456
75,PERAK,PPD KINTA UTARA,Rendah,Kebangsaan,ABA2007,SEKOLAH KEBANGSAAN CHEPOR,JALAN JELAPANG,31200,CHEMOR,52017246,52012135,ABA2007@moe.edu.my,Luar Bandar,SK,894,70,ADA,ADA,101.086318,4.68386
76,PERAK,PPD KINTA UTARA,Rendah,Kebangsaan,ABA2008,SEKOLAH KEBANGSAAN HAJI MAHMUD,JALAN SEKOLAH,31200,CHEMOR,52011534,52018980,ABA2008@moe.edu.my,Luar Bandar,SK,861,65,TIADA,TIADA,101.120205,4.720518
77,PERAK,PPD KINTA UTARA,Rendah,Kebangsaan,ABA2009,SEKOLAH KEBANGSAAN SYED IDRUS,KUANG,31200,CHEMOR,52015669,52015669,ABA2009@moe.edu.my,Luar Bandar,SK,196,27,ADA,ADA,101.140567,4.769493
78,PERAK,PPD KINTA UTARA,Rendah,Kebangsaan,ABA2010,SEKOLAH KEBANGSAAN DATO' PANGLIMA KINTA,JALAN TUN PERAK,30200,IPOH,52545680,52544884,ABA2010@moe.edu.my,Bandar,SK,268,28,ADA,TIADA,101.069669,4.591497
79,PERAK,PPD KINTA UTARA,Rendah,Kebangsaan,ABA2011,SEKOLAH KEBANGSAAN JALAN PANGLIMA BUKIT GANTANG,JALAN PANGLIMA BUKIT GANTANG WAHAB,30000,IPOH,52559896,52432785,ABA2011@moe.edu.my,Bandar,SK,534,39,ADA,TIADA,101.079627,4.607156
80,PERAK,PPD KINTA UTARA,Rendah,Kebangsaan,ABA2012,SEKOLAH KEBANGSAAN SERI KEPAYANG,FAIR PARK,31400,IPOH,55450905,55450905,ABA2012@moe.edu.my,Bandar,SK,200,29,ADA,ADA,101.096464,4.606496
81,PERAK,PPD KINTA UTARA,Rendah,Kebangsaan,ABA2014,SEKOLAH KEBANGSAAN KAMPUNG PASIR PUTEH,TAMAN SHATIN,31650,IPOH,53219041,53233870,ABA2014@moe.edu.my,Bandar,SK,777,56,ADA,TIADA,101.074761,4.56229
82,PERAK,PPD KINTA UTARA,Rendah,Kebangsaan,ABA2015,SEKOLAH KEBANGSAAN KUALA PARI,JALAN TOH PUAN RAHMAH,31450,MENGLEMBU,52821788,52821788,ABA2015@moe.edu.my,Bandar,SK,281,27,ADA,TIADA,101.067813,4.578535
83,PERAK,PPD KINTA UTARA,Rendah,Kebangsaan,ABA2016,SEKOLAH KEBANGSAAN PENGKALAN PEGOH,"JALAN SIMPANG PULAI, KG. PENGKALAN PEGOH",31500,LAHAT,53216399,53216399,ABA2016@moe.edu.my,Bandar,SK,975,69,ADA,ADA,101.069631,4.531342
84,PERAK,PPD KINTA SELATAN,Rendah,Kebangsaan,ABA2017,SEKOLAH KEBANGSAAN PENGKALAN BAHARU,"JALAN GOPENG, KG. KEPAYANG",31300,KG. KEPAYANG,53576199,53577962,ABA2017@moe.edu.my,Luar Bandar,SK,333,31,ADA,TIADA,101.119,4.492806
85,PERAK,PPD KINTA SELATAN,Rendah,Kebangsaan,ABA2030,SEKOLAH KEBANGSAAN TOH INDERA WANGSA AHMAD,JALAN SULAIMAN,31000,BATU GAJAH,53661253,53652576,ABA2030@moe.edu.my,Bandar,SK,836,70,ADA,TIADA,101.040258,4.471507
86,PERAK,PPD KINTA SELATAN,Rendah,Kebangsaan,ABA2031,SEKOLAH KEBANGSAAN SIPUTEH,SIPUTEH,31560,SIPUTEH,53660621,53660621,ABA2031@moe.edu.my,Luar Bandar,SK,645,49,ADA,ADA,100.997639,4.467954
87,PERAK,PPD KINTA SELATAN,Rendah,Kebangsaan,ABA2032,SEKOLAH KEBANGSAAN TRONOH,JALAN BOTA LAMA,31750,TRONOH,53679414,53677410,ABA2032@moe.edu.my,Luar Bandar,SK,236,20,ADA,TIADA,100.986224,4.418751
88,PERAK,PPD KINTA SELATAN,Rendah,Kebangsaan,ABA2033,SEKOLAH KEBANGSAAN KG. SERI RAHMAT,JALAN CHANGKAT LARANG,31500,LAHAT,53665516,53665516,ABA2033@moe.edu.my,Luar Bandar,SK,82,12,TIADA,TIADA,101.077179,4.50207
89,PERAK,PPD KINTA SELATAN,Rendah,Kebangsaan,ABA2034,SEKOLAH KEBANGSAAN TANJUNG TUALANG,BATU 7,31000,BATU GAJAH,53702155,53702155,ABA2034@moe.edu.my,Luar Bandar,SK,100,18,ADA,TIADA,101.061239,4.368111
90,PERAK,PPD KINTA SELATAN,Rendah,Kebangsaan,ABA2035,SEKOLAH KEBANGSAAN AYER PAPAN,KAMPUNG AYER PAPAN,31800,TANJONG TUALANG,53607099,53607099,ABA2035@moe.edu.my,Luar Bandar,SK,77,12,ADA,TIADA,101.053742,4.311469
91,PERAK,PPD KINTA SELATAN,Rendah,Kebangsaan,ABA2036,SEKOLAH KEBANGSAAN CHANGKAT TIN,CHANGKAT TIN,31800,TANJUNG TUALANG,53607925,53607925,ABA2036@moe.edu.my,Luar Bandar,SK,110,22,ADA,ADA,101.052636,4.278091
92,PERAK,PPD KINTA SELATAN,Rendah,Kebangsaan,ABA2038,SEKOLAH KEBANGSAAN BAKAP,JALAN TG. TUALANG,31000,BATU GAJAH,53668792,53668792,ABA2038@moe.edu.my,Bandar,SK,283,25,ADA,TIADA,101.044991,4.444662
93,PERAK,PPD KINTA UTARA,Rendah,Kebangsaan,ABA2039,SEKOLAH KEBANGSAAN PASUKAN POLIS HUTAN,JALAN PASUKAN POLIS HUTAN,31150,ULU KINTA,55335358,55331131,ABA2039@moe.edu.my,Luar Bandar,SK,715,67,ADA,ADA,101.171271,4.655241
94,PERAK,PPD KINTA SELATAN,Rendah,Kebangsaan,ABA2040,SEKOLAH KEBANGSAAN AYER DENAK,TRONOH,31750,TRONOH,TIADA,TIADA,ABA2040@moe.edu.my,Luar Bandar,SK,91,12,TIADA,TIADA,101.013205,4.350163
95,PERAK,PPD KINTA UTARA,Rendah,Kebangsaan,ABA2041,SEKOLAH KEBANGSAAN MANJOI (SATU),"JALAN  MASJID, KG. MANJOI",30020,IPOH,55260408,55286572,ABA2041@moe.edu.my,Bandar,SK,434,42,ADA,TIADA,101.071705,4.618595
